abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
amskreject,"\namskreject( x:Array|TypedArray|Object, mask:Array|TypedArray|Object )\n    Returns a new array by applying a mask to a provided input array.\n"
anans,"\nanans( length:integer[, dtype:string] )\n    Returns an array filled with NaNs and having a specified length.\n"
anansLike,"\nanansLike( x:TypedArray|Array[, dtype:string] )\n    Returns an array filled with NaNs and having the same length and data type\n    as a provided input array.\n"
anova1,"\nanova1( x:Array<number>, factor:Array[, options:Object] )\n    Performs a one-way analysis of variance.\n"
ANSCOMBES_QUARTET,"\nANSCOMBES_QUARTET()\n    Returns Anscombe's quartet.\n"
any,"\nany( collection:Array|TypedArray|Object )\n    Tests whether at least one element in a collection is truthy.\n"
anyBy,"\nanyBy( collection:Array|TypedArray|Object, predicate:Function[, thisArg:any ] )\n    Tests whether at least one element in a collection passes a test implemented\n    by a predicate function.\n"
anyByAsync,"\nanyByAsync( collection:Array|TypedArray|Object, [options:Object,] \n  predicate:Function, done:Function )\n    Tests whether at least one element in a collection passes a test implemented\n    by a predicate function.\n"
anyByAsync.factory,"\nanyByAsync.factory( [options:Object,] predicate:Function )\n    Returns a function which tests whether at least one element in a collection\n    passes a test implemented by a predicate function.\n"
anyByRight,"\nanyByRight( collection:Array|TypedArray|Object, predicate:Function[, \n  thisArg:any ] )\n    Tests whether at least one element in a collection passes a test implemented\n    by a predicate function, iterating from right to left.\n"
anyByRightAsync,"\nanyByRightAsync( collection:Array|TypedArray|Object, [options:Object,] \n  predicate:Function, done:Function )\n    Tests whether at least one element in a collection passes a test implemented\n    by a predicate function, iterating from right to left.\n"
anyByRightAsync.factory,"\nanyByRightAsync.factory( [options:Object,] predicate:Function )\n    Returns a function which tests whether at least one element in a collection\n    passes a test implemented by a predicate function, iterating from right to\n    left.\n"
anyInBy,"\nanyInBy( object:Object, predicate:Function[, thisArg:any ] )\n    Tests whether at least one value in an object passes a test implemented by\n    a predicate function.\n"
anyOwnBy,"\nanyOwnBy( object:Object, predicate:Function[, thisArg:any ] )\n    Tests whether at least one own property of an object passes a\n    test implemented by a predicate function.\n"
aones,"\naones( length:integer[, dtype:string] )\n    Returns an array filled with ones and having a specified length.\n"
aonesLike,"\naonesLike( x:TypedArray|Array[, dtype:string] )\n    Returns an array filled with ones and having the same length and data type\n    as a provided input array.\n"
aoneTo,"\naoneTo( n:integer[, dtype:string] )\n    Generates a linearly spaced numeric array whose elements increment by 1\n    starting from one.\n"
aoneToLike,"\naoneToLike( x:TypedArray|Array[, dtype:string] )\n    Generates a linearly spaced numeric array whose elements increment by 1\n    starting from one and having the same length and data type as a provided\n    input array.\n"
APERY,"\nAPERY\n    Apéry's constant.\n"
aplace,"\naplace( x:ArrayLikeObject, mask:ArrayLikeObject, values:ArrayLikeObject[, \n  options:Object] )\n    Replaces elements of an array with provided values according to a provided\n    mask array.\n"
append,"\nappend( collection1:Array|TypedArray|Object, \n  collection2:Array|TypedArray|Object )\n    Adds the elements of one collection to the end of another collection.\n"
aput,"\naput( x:ArrayLikeObject, indices:ArrayLikeObject<integer>, \n  values:ArrayLikeObject[, options:Object] )\n    Replaces specified elements of an array with provided values.\n"
ARCH,"\nARCH\n    Operating system CPU architecture for which the JavaScript runtime binary\n    was compiled.\n"
argumentFunction,"\nargumentFunction( idx:integer )\n    Returns a function which always returns a specified argument.\n"
ARGV,"\nARGV\n    An array containing command-line arguments passed when launching the calling\n    process.\n"
array,"\narray( [buffer:Array|TypedArray|Buffer|ndarray,] [options:Object] )\n    Returns a multidimensional array.\n"
array2buffer,"\narray2buffer( arr:Array<integer> )\n    Allocates a buffer using an octet array.\n"
array2fancy,"\narray2fancy( x:Array|TypedArray|Object[, options:Object] )\n    Converts an array to an object supporting fancy indexing.\n"
array2fancy.factory,"\narray2fancy.factory( [options:Object] )\n    Returns a function for converting an array to an object supporting fancy\n    indexing.\n"
array2fancy.idx,"\narray2fancy.idx( x:Array|TypedArray|Object[, options:Object] )\n    Wraps a provided array as an array index object.\n"
array2iterator,"\narray2iterator( src:ArrayLikeObject[, mapFcn:Function[, thisArg:any]] )\n    Returns an iterator which iterates over the elements of an array-like\n    object.\n"
array2iteratorRight,"\narray2iteratorRight( src:ArrayLikeObject[, mapFcn:Function[, thisArg:any]] )\n    Returns an iterator which iterates from right to left over the elements of\n    an array-like object.\n"
ArrayBuffer,"\nArrayBuffer( size:integer )\n    Returns an array buffer having a specified number of bytes.\n"
ArrayBuffer.length,"\nArrayBuffer.length\n    Number of input arguments the constructor accepts.\n"
ArrayBuffer.isView,"\nArrayBuffer.isView( arr:any )\n    Returns a boolean indicating if provided an array buffer view.\n"
ArrayBuffer.prototype.byteLength,"\nArrayBuffer.prototype.byteLength\n    Read-only property which returns the length (in bytes) of the array buffer.\n"
ArrayBuffer.prototype.slice,"\nArrayBuffer.prototype.slice( [start:integer[, end:integer]] )\n    Copies the bytes of an array buffer to a new array buffer.\n"
arraybuffer2buffer,"\narraybuffer2buffer( buf:ArrayBuffer[, byteOffset:integer[, length:integer]] )\n    Allocates a buffer from an ArrayBuffer.\n"
arrayCtors,"\narrayCtors( dtype:string )\n    Returns an array constructor.\n"
arrayDataType,"\narrayDataType( array:any )\n    Returns the data type of an array.\n"
arrayDataTypes,"\narrayDataTypes( [kind:string] )\n    Returns a list of array data types.\n"
ArrayIndex,"\nArrayIndex( x:Array|TypedArray|Object[, options:Object] )\n    Wraps a provided array as an array index object.\n"
ArrayIndex.free,"\nArrayIndex.free( id:string )\n    Frees the instance associated with a provided identifier.\n"
ArrayIndex.get,"\nArrayIndex.get( id:string )\n    Returns the array associated with the instance having a provided identifier.\n"
ArrayIndex.prototype.data,"\nArrayIndex.prototype.data\n    Read-only property returning the underlying index array.\n"
ArrayIndex.prototype.dtype,"\nArrayIndex.prototype.dtype\n    Read-only property returning the underlying data type of the index array.\n"
ArrayIndex.prototype.id,"\nArrayIndex.prototype.id\n    Read-only property returning the unique identifier associated with an\n    instance.\n"
ArrayIndex.prototype.isCached,"\nArrayIndex.prototype.isCached\n    Read-only property returning a boolean indicating whether an array index is\n    actively cached.\n"
ArrayIndex.prototype.type,"\nArrayIndex.prototype.type\n    Read-only property returning the array index type.\n"
ArrayIndex.prototype.toString,"\nArrayIndex.prototype.toString()\n    Serializes an instance as a string.\n"
ArrayIndex.prototype.toJSON,"\nArrayIndex.prototype.toJSON()\n    Serializes an instance as a JSON object.\n"
arrayMinDataType,"\narrayMinDataType( value:any )\n    Returns the minimum array data type of the closest \"kind\" necessary for\n    storing a provided scalar value.\n"
arrayMostlySafeCasts,"\narrayMostlySafeCasts( [dtype:any] )\n    Returns a list of array data types to which a provided array data type can\n    be safely cast and, for floating-point data types, can be downcast.\n"
arrayNextDataType,"\narrayNextDataType( [dtype:string] )\n    Returns the next larger array data type of the same kind.\n"
arrayPromotionRules,"\narrayPromotionRules( [dtype1:any, dtype2:any] )\n    Returns the array data type with the smallest size and closest \"kind\" to\n    which array data types can be safely cast.\n"
arraySafeCasts,"\narraySafeCasts( [dtype:any] )\n    Returns a list of array data types to which a provided array data type can\n    be safely cast.\n"
arraySameKindCasts,"\narraySameKindCasts( [dtype:any] )\n    Returns a list of array data types to which a provided array data type can\n    be safely cast or cast within the same \"kind\".\n"
arrayShape,"\narrayShape( arr:ArrayLikeObject )\n    Determines array dimensions.\n"
arrayStream,"\narrayStream( src:ArrayLikeObject[, options:Object] )\n    Creates a readable stream from an array-like object.\n"
arrayStream.factory,"\narrayStream.factory( [options:Object] )\n    Returns a function for creating readable streams from array-like objects.\n"
arrayStream.objectMode,"\narrayStream.objectMode( src:ArrayLikeObject[, options:Object] )\n    Returns an \"objectMode\" readable stream from an array-like object.\n"
arrayview2iterator,"\narrayview2iterator( src:ArrayLikeObject[, begin:integer[, end:integer]][, \n  mapFcn:Function[, thisArg:any]] )\n    Returns an iterator which iterates over the elements of an array-like object\n    view.\n"
arrayview2iteratorRight,"\narrayview2iteratorRight( src:ArrayLikeObject[, begin:integer[, end:integer]][, \n  mapFcn:Function[, thisArg:any]] )\n    Returns an iterator which iterates from right to left over the elements of\n    an array-like object view.\n"
aslice,"\naslice( x:ArrayLikeObject[, start:integer[, end:integer]] )\n    Returns a shallow copy of a portion of an array.\n"
AsyncIteratorSymbol,"\nAsyncIteratorSymbol\n    Async iterator symbol.\n"
atake,"\natake( x:Array|TypedArray|Object, indices:ArrayLikeObject<integer>[, \n  options:Object] )\n    Takes elements from an array.\n"
azeros,"\nazeros( length:integer[, dtype:string] )\n    Returns a zero-filled array having a specified length.\n"
azerosLike,"\nazerosLike( x:TypedArray|Array[, dtype:string] )\n    Returns a zero-filled array having the same length and data type as a\n    provided input array.\n"
azeroTo,"\nazeroTo( n:integer[, dtype:string] )\n    Generates a linearly spaced numeric array whose elements increment by 1\n    starting from zero.\n"
azeroToLike,"\nazeroToLike( x:TypedArray|Array[, dtype:string] )\n    Generates a linearly spaced numeric array whose elements increment by 1\n    starting from zero and having the same length and data type as a provided\n    input array.\n"
bartlettTest,"\nbartlettTest( ...x:Array[, options:Object] )\n    Computes Bartlett’s test for equal variances.\n"
base.abs,"\nbase.abs( x:number )\n    Computes the absolute value of a double-precision floating-point number `x`.\n"
base.abs2,"\nbase.abs2( x:number )\n    Computes the squared absolute value of a double-precision floating-point\n    `x`.\n"
base.abs2f,"\nbase.abs2f( x:number )\n    Computes the squared absolute value of a single-precision floating-point\n    `x`.\n"
base.absdiff,"\nbase.absdiff( x:number, y:number )\n    Computes the absolute difference.\n"
base.absf,"\nbase.absf( x:number )\n    Computes the absolute value of a single-precision floating-point number `x`.\n"
base.acartesianPower,"\nbase.acartesianPower( x:ArrayLikeObject, n:integer )\n    Returns the Cartesian power.\n"
base.acartesianProduct,"\nbase.acartesianProduct( x1:ArrayLikeObject, x2:ArrayLikeObject )\n    Returns the Cartesian product.\n"
base.acartesianSquare,"\nbase.acartesianSquare( x:ArrayLikeObject )\n    Returns the Cartesian square.\n"
base.acos,"\nbase.acos( x:number )\n    Compute the arccosine of a double-precision floating-point number.\n"
base.acosd,"\nbase.acosd( x:number )\n    Computes the arccosine (in degrees) of a double-precision floating-point \n    number.\n"
base.acosf,"\nbase.acosf( x:number )\n    Computes the arccosine of a single-precision floating-point number.\n"
base.acosh,"\nbase.acosh( x:number )\n    Computes the hyperbolic arccosine of a double-precision floating-point\n    number.\n"
base.acot,"\nbase.acot( x:number )\n    Computes the inverse cotangent of a double-precision floating-point number.\n"
base.acotd,"\nbase.acotd( x:number )\n    Computes the arccotangent (in degrees) of a double-precision floating-point\n    number.\n"
base.acotf,"\nbase.acotf( x:number )\n    Computes the inverse cotangent of a single-precision floating-point number.\n"
base.acoth,"\nbase.acoth( x:number )\n    Computes the inverse hyperbolic cotangent of a double-precision floating-\n    point number.\n"
base.acovercos,"\nbase.acovercos( x:number )\n    Computes the inverse coversed cosine.\n"
base.acoversin,"\nbase.acoversin( x:number )\n    Computes the inverse coversed sine.\n"
base.acsc,"\nbase.acsc( x:number )\n    Computes the arccosecant of a number.\n"
base.acscd,"\nbase.acscd( x:number )\n    Computes the arccosecant of (in degrees) a double-precision floating-point\n    number.\n"
base.acscdf,"\nbase.acscdf( x:number )\n    Computes the arccosecant (in degrees) of a single-precision floating-point\n    number.\n"
base.acscf,"\nbase.acscf( x:number )\n    Computes the arccosecant of a single-precision floating-point number.\n"
base.acsch,"\nbase.acsch( x:number )\n    Computes the hyperbolic arccosecant of a number.\n"
base.add,"\nbase.add( x:number, y:number )\n    Computes the sum of two double-precision floating-point numbers `x` and `y`.\n"
base.add3,"\nbase.add3( x:number, y:number, z:number )\n    Computes the sum of three double-precision floating-point numbers.\n"
base.add4,"\nbase.add4( x:number, y:number, z:number, w:number )\n    Computes the sum of four double-precision floating-point numbers.\n"
base.add5,"\nbase.add5( x:number, y:number, z:number, w:number, u:number )\n    Computes the sum of five double-precision floating-point numbers.\n"
base.addf,"\nbase.addf( x:number, y:number )\n    Computes the sum of two single-precision floating-point numbers `x` and `y`.\n"
base.afilled,"\nbase.afilled( value:any, len:integer )\n    Returns a filled \"generic\" array.\n"
base.afilled2d,"\nbase.afilled2d( value:any, shape:Array<integer> )\n    Returns a filled two-dimensional nested array.\n"
base.afilled2dBy,"\nbase.afilled2dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )\n    Returns a filled two-dimensional nested array according to a provided\n    callback function.\n"
base.afilled3d,"\nbase.afilled3d( value:any, shape:Array<integer> )\n    Returns a filled three-dimensional nested array.\n"
base.afilled3dBy,"\nbase.afilled3dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )\n    Returns a filled three-dimensional nested array according to a provided\n    callback function.\n"
base.afilled4d,"\nbase.afilled4d( value:any, shape:Array<integer> )\n    Returns a filled four-dimensional nested array.\n"
base.afilled4dBy,"\nbase.afilled4dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )\n    Returns a filled four-dimensional nested array according to a provided\n    callback function.\n"
base.afilled5d,"\nbase.afilled5d( value:any, shape:Array<integer> )\n    Returns a filled five-dimensional nested array.\n"
base.afilled5dBy,"\nbase.afilled5dBy( shape:Array<integer>, clbk:Function[, thisArg:any] )\n    Returns a filled five-dimensional nested array according to a provided\n    callback function.\n"
base.afilledBy,"\nbase.afilledBy( len:integer, clbk:Function[, thisArg:any] )\n    Returns a filled \"generic\" array according to a provided callback function.\n"
base.afillednd,"\nbase.afillednd( value:any, shape:Array<integer> )\n    Returns a filled n-dimensional nested array.\n"
base.afilledndBy,"\nbase.afilledndBy( shape:Array<integer>, clbk:Function[, thisArg:any] )\n    Returns a filled n-dimensional nested array according to a callback\n    function.\n"
base.afilter,"\nbase.afilter( x:Array|TypedArray|Object, predicate:Function[, thisArg:any] )\n    Returns a shallow copy of an array containing only those elements which pass\n    a test implemented by a predicate function.\n"
base.afirst,"\nbase.afirst( arr:ArrayLikeObject )\n    Returns the first element of an array-like object.\n"
base.aflatten,"\nbase.aflatten( x:Array, shape:Array<integer>, colexicographic:boolean )\n    Flattens an n-dimensional nested array.\n"
base.aflatten.assign,"\nbase.aflatten.assign( x:Array, shape:Array<integer>, colexicographic:boolean, \n  out:Collection, stride:integer, offset:integer )\n    Flattens an n-dimensional nested array and assigns elements to a provided\n    output array.\n"
base.aflatten2d,"\nbase.aflatten2d( x:Array, shape:Array<integer>, colexicographic:boolean )\n    Flattens a two-dimensional nested array.\n"
base.aflatten2d.assign,"\nbase.aflatten2d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, \n  out:Collection, stride:integer, offset:integer )\n    Flattens a two-dimensional nested array and assigns elements to a provided\n    output array.\n"
base.aflatten2dBy,"\nbase.aflatten2dBy( x:Array, shape:Array<integer>, colex:boolean, \n  clbk:Function[, thisArg:any] )\n    Flattens a two-dimensional nested array according to a callback function.\n"
base.aflatten2dBy.assign,"\nbase.aflatten2dBy.assign( x:Array, shape:Array<integer>, colex:boolean, \n  out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )\n    Flattens a two-dimensional nested array according to a callback function\n    and assigns elements to a provided output array.\n"
base.aflatten3d,"\nbase.aflatten3d( x:ArrayLikeObject, shape:Array<integer>, \n  colexicographic:boolean )\n    Flattens a three-dimensional nested array.\n"
base.aflatten3d.assign,"\nbase.aflatten3d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, \n  out:Collection, stride:integer, offset:integer )\n    Flattens a three-dimensional nested array and assigns elements to a provided\n    output array.\n"
base.aflatten3dBy,"\nbase.aflatten3dBy( x:ArrayLikeObject, shape:Array<integer>, colex:boolean, \n  clbk:Function[, thisArg:any] )\n    Flattens a three-dimensional nested array according to a callback function.\n"
base.aflatten3dBy.assign,"\nbase.aflatten3dBy.assign( x:Array, shape:Array<integer>, colex:boolean, \n  out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )\n    Flattens a three-dimensional nested array according to a callback function\n    and assigns elements to a provided output array.\n"
base.aflatten4d,"\nbase.aflatten4d( x:ArrayLikeObject, shape:Array<integer>, \n  colexicographic:boolean )\n    Flattens a four-dimensional nested array.\n"
base.aflatten4d.assign,"\nbase.aflatten4d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, \n  out:Collection, stride:integer, offset:integer )\n    Flattens a four-dimensional nested array and assigns elements to a provided\n    output array.\n"
base.aflatten4dBy,"\nbase.aflatten4dBy( x:ArrayLikeObject, shape:Array<integer>, colex:boolean, \n  clbk:Function[, thisArg:any] )\n    Flattens a four-dimensional nested array according to a callback function.\n"
base.aflatten4dBy.assign,"\nbase.aflatten4dBy.assign( x:Array, shape:Array<integer>, colex:boolean, \n  out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )\n    Flattens a four-dimensional nested array according to a callback function\n    and assigns elements to a provided output array.\n"
base.aflatten5d,"\nbase.aflatten5d( x:ArrayLikeObject, shape:Array<integer>, \n  colexicographic:boolean )\n    Flattens a five-dimensional nested array.\n"
base.aflatten5d.assign,"\nbase.aflatten5d.assign( x:Array, shape:Array<integer>, colexicographic:boolean, \n  out:Collection, stride:integer, offset:integer )\n    Flattens a five-dimensional nested array and assigns elements to a provided\n    output array.\n"
base.aflatten5dBy,"\nbase.aflatten5dBy( x:ArrayLikeObject, shape:Array<integer>, colex:boolean, \n  clbk:Function[, thisArg:any] )\n    Flattens a five-dimensional nested array according to a callback function.\n"
base.aflatten5dBy.assign,"\nbase.aflatten5dBy.assign( x:Array, shape:Array<integer>, colex:boolean, \n  out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )\n    Flattens a five-dimensional nested array according to a callback function\n    and assigns elements to a provided output array.\n"
base.aflattenBy,"\nbase.aflattenBy( x:Array, shape:Array<integer>, colex:boolean, clbk:Function[, \n  thisArg:any] )\n    Flattens an n-dimensional nested array according to a callback function.\n"
base.aflattenBy.assign,"\nbase.aflattenBy.assign( x:Array, shape:Array<integer>, colex:boolean, \n  out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )\n    Flattens an n-dimensional nested array according to a callback function and\n    assigns elements to a provided output array.\n"
base.afliplr2d,"\nbase.afliplr2d( x:ArrayLikeObject )\n    Reverses the order of elements along the last dimension of a two-dimensional\n    nested input array.\n"
base.afliplr3d,"\nbase.afliplr3d( x:ArrayLikeObject )\n    Reverses the order of elements along the last dimension of a three-\n    dimensional nested input array.\n"
base.afliplr4d,"\nbase.afliplr4d( x:ArrayLikeObject )\n    Reverses the order of elements along the last dimension of a four-\n    dimensional nested input array.\n"
base.afliplr5d,"\nbase.afliplr5d( x:ArrayLikeObject )\n    Reverses the order of elements along the last dimension of a five-\n    dimensional nested input array.\n"
base.aflipud2d,"\nbase.aflipud2d( x:ArrayLikeObject )\n    Reverses the order of elements along the first dimension of a two-\n    dimensional nested input array.\n"
base.aflipud3d,"\nbase.aflipud3d( x:ArrayLikeObject )\n    Reverses the order of elements along the second-to-last dimension of a\n    three-dimensional nested input array.\n"
base.aflipud4d,"\nbase.aflipud4d( x:ArrayLikeObject )\n    Reverses the order of elements along the second-to-last dimension of a four-\n    dimensional nested input array.\n"
base.aflipud5d,"\nbase.aflipud5d( x:ArrayLikeObject )\n    Reverses the order of elements along the second-to-last dimension of a five-\n    dimensional nested input array.\n"
base.ahavercos,"\nbase.ahavercos( x:number )\n    Computes the inverse half-value versed cosine.\n"
base.ahaversin,"\nbase.ahaversin( x:number )\n    Computes the inverse half-value versed sine.\n"
base.altcase,"\nbase.altcase( str:string )\n    Converts a string to alternate case.\n"
base.aones,"\nbase.aones( len:integer )\n    Returns a \"generic\" array filled with ones.\n"
base.aones2d,"\nbase.aones2d( shape:Array<integer> )\n    Returns a two-dimensional nested array filled with ones.\n"
base.aones3d,"\nbase.aones3d( shape:Array<integer> )\n    Returns a three-dimensional nested array filled with ones.\n"
base.aones4d,"\nbase.aones4d( shape:Array<integer> )\n    Returns a four-dimensional nested array filled with ones.\n"
base.aones5d,"\nbase.aones5d( shape:Array<integer> )\n    Returns a five-dimensional nested array filled with ones.\n"
base.aonesnd,"\nbase.aonesnd( shape:Array<integer> )\n    Returns an n-dimensional nested array filled with ones.\n"
base.aoneTo,"\nbase.aoneTo( n:number )\n    Generates a linearly spaced numeric array whose elements increment by 1\n    starting from one.\n"
base.aoneTo.assign,"\nbase.aoneTo.assign( out:ArrayLikeObject, stride:integer, offset:integer )\n    Fills an array with linearly spaced numeric elements which increment by 1\n    starting from one.\n"
base.args2multislice,"\nbase.args2multislice( args:Array<Slice|integer|null|undefined> )\n    Creates a MultiSlice object from a list of MultiSlice constructor arguments.\n"
base.asec,"\nbase.asec( x:number )\n    Computes the inverse (arc) secant of a number.\n"
base.asecd,"\nbase.asecd( x:number )\n    Computes the arcsecant (in degrees) of a double-precision floating-point\n    number.\n"
base.asecdf,"\nbase.asecdf( x:number )\n    Computes the arcsecant (in degrees) of a single-precision floating-point\n    number.\n"
base.asecf,"\nbase.asecf( x:number )\n    Computes the inverse (arc) secant of a single-precision\n    floating-point number.\n"
base.asech,"\nbase.asech( x:number )\n    Computes the hyperbolic arcsecant of a number.\n"
base.asin,"\nbase.asin( x:number )\n    Computes the arcsine of a double-precision floating-point number.\n"
base.asind,"\nbase.asind( x:number )\n    Computes the arcsine (in degrees) of a double-precision floating-point\n    number.\n"
base.asindf,"\nbase.asindf( x:number )\n    Computes the arcsine (in degrees) of a single-precision floating-point\n    number.\n"
base.asinf,"\nbase.asinf( x:number )\n    Computes the arcsine of a single-precision floating-point number.\n"
base.asinh,"\nbase.asinh( x:number )\n    Computes the hyperbolic arcsine of a double-precision floating-point number.\n"
base.atan,"\nbase.atan( x:number )\n    Computes the arctangent of a double-precision floating-point number.\n"
base.atan2,"\nbase.atan2( y:number, x:number )\n    Computes the angle in the plane (in radians) between the positive x-axis and\n    the ray from (0,0) to the point (x,y).\n"
base.atand,"\nbase.atand( x:number )\n    Computes the arctangent (in degrees) of a double-precision floating-point\n    number.\n"
base.atanf,"\nbase.atanf( x:number )\n    Computes the arctangent of a single-precision floating-point number.\n"
base.atanh,"\nbase.atanh( x:number )\n    Computes the hyperbolic arctangent of a double-precision floating-point\n    number.\n"
base.avercos,"\nbase.avercos( x:number )\n    Computes the inverse versed cosine.\n"
base.aversin,"\nbase.aversin( x:number )\n    Computes the inverse versed sine.\n"
base.azeros,"\nbase.azeros( len:integer )\n    Returns a zero-filled \"generic\" array.\n"
base.azeros2d,"\nbase.azeros2d( shape:Array<integer> )\n    Returns a zero-filled two-dimensional nested array.\n"
base.azeros3d,"\nbase.azeros3d( shape:Array<integer> )\n    Returns a zero-filled three-dimensional nested array.\n"
base.azeros4d,"\nbase.azeros4d( shape:Array<integer> )\n    Returns a zero-filled four-dimensional nested array.\n"
base.azeros5d,"\nbase.azeros5d( shape:Array<integer> )\n    Returns a zero-filled five-dimensional nested array.\n"
base.azerosnd,"\nbase.azerosnd( shape:Array<integer> )\n    Returns a zero-filled n-dimensional nested array.\n"
base.azeroTo,"\nbase.azeroTo( n:number )\n    Generates a linearly spaced numeric array whose elements increment by 1\n    starting from zero.\n"
base.azeroTo.assign,"\nbase.azeroTo.assign( out:ArrayLikeObject, stride:integer, offset:integer )\n    Fills an array with linearly spaced numeric elements which increment by 1\n    starting from zero.\n"
base.bernoulli,"\nbase.bernoulli( n:integer )\n    Computes the nth Bernoulli number.\n"
base.besselj0,"\nbase.besselj0( x:number )\n    Computes the Bessel function of the first kind of order zero.\n"
base.besselj1,"\nbase.besselj1( x:number )\n    Computes the Bessel function of the first kind of order one.\n"
base.bessely0,"\nbase.bessely0( x:number )\n    Computes the Bessel function of the second kind of order zero.\n"
base.bessely1,"\nbase.bessely1( x:number )\n    Computes the Bessel function of the second kind of order one.\n"
base.beta,"\nbase.beta( x:number, y:number )\n    Evaluates the beta function.\n"
base.betainc,"\nbase.betainc( x:number, a:number, b:number[, regularized:boolean[, \n  upper:boolean]] )\n    Computes the regularized incomplete beta function.\n"
base.betaincinv,"\nbase.betaincinv( p:number, a:number, b:number[, upper:boolean] )\n    Computes the inverse of the lower incomplete beta function.\n"
base.betaln,"\nbase.betaln( a:number, b:number )\n    Evaluates the natural logarithm of the beta function.\n"
base.binet,"\nbase.binet( x:number )\n    Evaluates Binet's formula extended to real numbers.\n"
base.binomcoef,"\nbase.binomcoef( n:integer, k:integer )\n    Computes the binomial coefficient of two integers.\n"
base.binomcoefln,"\nbase.binomcoefln( n:integer, k:integer )\n    Computes the natural logarithm of the binomial coefficient of two integers.\n"
base.boxcox,"\nbase.boxcox( x:number, lambda:number )\n    Computes a one-parameter Box-Cox transformation.\n"
base.boxcox1p,"\nbase.boxcox1p( x:number, lambda:number )\n    Computes a one-parameter Box-Cox transformation of 1+x.\n"
base.boxcox1pinv,"\nbase.boxcox1pinv( y:number, lambda:number )\n    Computes the inverse of a one-parameter Box-Cox transformation for 1+x.\n"
base.boxcoxinv,"\nbase.boxcoxinv( y:number, lambda:number )\n    Computes the inverse of a one-parameter Box-Cox transformation.\n"
base.cabs,"\nbase.cabs( z:Complex128 )\n    Computes the absolute value of a double-precision complex floating-point\n    number.\n"
base.cabs2,"\nbase.cabs2( z:Complex128 )\n    Computes the squared absolute value of a double-precision complex floating-\n    point number.\n"
base.cabs2f,"\nbase.cabs2f( z:Complex64 )\n    Computes the squared absolute value of a single-precision complex floating-\n    point number.\n"
base.cabsf,"\nbase.cabsf( z:Complex64 )\n    Computes the absolute value of a single-precision complex floating-point\n    number.\n"
base.cadd,"\nbase.cadd( z1:Complex128, z2:Complex128 )\n    Adds two double-precision complex floating-point numbers.\n"
base.caddf,"\nbase.caddf( z1:Complex64, z2:Complex64 )\n    Adds two single-precision complex floating-point numbers.\n"
base.camelcase,"\nbase.camelcase( str:string )\n    Converts a string to camel case.\n"
