education,south,gender,experience,union,wage,age,race,occupation,sector,married
12,0,male,7,1,9.15,25,white,other,other,0
16,0,male,13,0,11,35,white,other,manufacturing,0
12,0,female,7,1,4.5,25,white,other,manufacturing,0
12,0,female,16,1,4.8,34,white,other,manufacturing,0
13,0,male,0,1,4,19,white,other,other,1
12,0,female,11,1,5.5,29,white,other,manufacturing,1
13,0,male,17,1,8.4,36,white,other,manufacturing,1
10,0,male,13,1,6.75,29,white,other,manufacturing,0
12,0,male,22,0,10,40,other,other,manufacturing,1
12,0,female,28,1,5,46,white,other,manufacturing,0
11,0,male,17,1,6.5,34,white,other,other,1
12,0,male,24,0,10.75,42,white,other,construction,0
3,1,male,55,1,7,64,hispanic,other,manufacturing,0
12,1,male,3,1,11.43,21,white,other,construction,1
12,0,male,6,0,4,24,other,other,manufacturing,1
10,0,male,27,1,9,43,white,other,construction,0
12,1,male,19,0,13,37,other,other,manufacturing,0
12,0,male,19,0,12.22,37,white,other,construction,0
12,0,female,38,1,6.28,56,white,other,manufacturing,0
10,1,male,41,0,6.75,57,other,other,manufacturing,0
11,1,male,3,1,3.35,20,other,other,manufacturing,1
14,0,male,20,0,16,40,white,other,other,0
10,0,male,15,1,5.25,31,white,other,other,0
8,1,male,8,1,3.5,22,hispanic,other,manufacturing,0
8,1,female,39,1,4.22,53,white,other,manufacturing,0
6,0,female,43,0,3,55,hispanic,other,manufacturing,0
11,1,female,25,0,4,42,white,other,manufacturing,0
12,0,male,11,0,10,29,white,other,other,0
12,0,male,12,1,5,30,other,other,other,0
12,1,male,35,0,16,53,white,other,manufacturing,0
14,0,male,14,1,13.98,34,white,other,other,1
12,0,male,16,0,13.26,34,white,other,other,0
10,0,female,44,0,6.1,60,white,other,manufacturing,1
16,1,female,13,1,3.75,35,white,other,other,1
13,0,male,8,0,9,27,other,other,manufacturing,1
12,0,male,13,1,9.45,31,white,other,manufacturing,1
11,0,male,18,0,5.5,35,white,other,other,0
12,0,female,18,1,8.93,36,white,other,other,0
12,1,female,6,1,6.25,24,white,other,other,1
11,1,male,37,0,9.75,54,white,other,manufacturing,0
12,1,male,2,1,6.73,20,white,other,manufacturing,0
12,0,male,23,1,7.78,41,white,other,manufacturing,0
12,0,male,1,1,2.85,19,white,other,other,1
12,1,female,10,1,3.35,28,other,other,manufacturing,0
12,0,male,23,1,19.98,41,white,other,manufacturing,0
12,0,male,8,0,8.5,26,other,other,other,0
15,0,female,9,1,9.75,30,white,other,manufacturing,0
12,0,male,33,0,15,51,white,other,construction,0
12,0,female,19,1,8,37,white,other,manufacturing,0
13,0,male,14,1,11.25,33,white,other,other,0
11,0,male,13,0,14,30,white,other,other,0
10,0,male,12,1,10,28,white,other,construction,0
12,0,male,8,1,6.5,26,white,other,other,1
12,0,male,23,1,9.83,41,white,other,manufacturing,0
14,0,female,13,1,18.5,33,white,other,manufacturing,1
12,1,male,9,1,12.5,27,white,other,other,0
14,0,male,21,0,26,41,white,other,other,0
5,1,male,44,1,14,55,white,other,construction,0
12,0,male,4,0,10.5,22,white,other,other,0
8,0,male,42,1,11,56,white,other,manufacturing,0
13,0,male,10,0,12.47,29,white,other,other,0
12,0,male,11,1,12.5,29,white,other,construction,1
12,0,male,40,0,15,58,white,other,construction,0
12,0,male,8,1,6,26,white,other,construction,1
11,1,male,29,1,9.5,46,white,other,construction,0
16,0,male,3,0,5,25,white,other,other,1
11,0,male,11,1,3.75,28,white,other,construction,1
12,0,male,12,0,12.57,30,white,other,other,0
8,0,female,22,1,6.88,36,hispanic,other,other,0
12,0,male,12,1,5.5,30,white,other,other,0
12,0,male,7,0,7,25,white,other,other,0
12,0,female,15,1,4.5,33,white,other,manufacturing,1
12,0,male,28,1,6.5,46,white,other,other,0
12,1,male,20,0,12,38,white,other,manufacturing,0
12,1,male,6,1,5,24,white,other,construction,1
12,1,male,5,1,6.5,23,white,other,manufacturing,1
9,1,female,30,1,6.8,45,white,other,manufacturing,0
13,0,male,18,1,8.75,37,white,other,other,0
12,1,female,6,1,3.75,24,other,other,manufacturing,0
12,1,male,16,1,4.5,34,hispanic,other,other,1
12,1,male,1,0,6,19,hispanic,other,other,1
12,0,male,3,1,5.5,21,white,other,manufacturing,1
12,0,male,8,1,13,26,white,other,other,0
14,0,male,2,1,5.65,22,white,other,manufacturing,1
9,0,male,16,1,4.8,31,other,other,manufacturing,1
10,1,male,9,1,7,25,white,other,construction,0
12,0,male,2,1,5.25,20,white,other,other,1
7,1,male,43,1,3.35,56,white,other,manufacturing,0
9,0,male,38,1,8.5,53,white,other,manufacturing,0
12,0,male,9,1,6,27,white,other,other,0
12,1,male,12,1,6.75,30,white,other,other,0
12,0,male,18,1,8.89,36,white,other,manufacturing,0
11,0,male,15,0,14.21,32,white,other,manufacturing,1
11,1,male,28,0,10.78,45,other,other,construction,0
10,1,male,27,0,8.9,43,white,other,construction,0
12,1,male,38,1,7.5,56,white,other,other,0
12,0,female,3,1,4.5,21,white,other,manufacturing,1
12,0,male,41,0,11.25,59,white,other,other,0
12,1,male,16,0,13.45,34,white,other,other,0
13,1,male,7,1,6,26,white,other,manufacturing,0
6,1,female,33,1,4.62,45,other,other,manufacturing,1
14,0,male,25,1,10.58,45,white,other,manufacturing,0
12,1,male,5,1,5,23,white,other,other,0
14,1,male,17,1,8.2,37,other,other,other,1
12,1,male,1,1,6.25,19,white,other,other,1
12,0,male,13,1,8.5,31,white,other,manufacturing,0
16,0,male,18,1,24.98,40,white,management,other,0
14,1,male,21,1,16.65,41,white,management,other,0
14,0,male,2,1,6.25,22,white,management,other,1
12,1,female,4,1,4.55,22,hispanic,management,other,1
12,1,female,30,1,11.25,48,hispanic,management,other,0
13,0,male,32,1,21.25,51,white,management,other,1
17,0,female,13,1,12.65,36,white,management,other,0
12,0,male,17,1,7.5,35,white,management,other,1
14,0,female,26,1,10.25,46,white,management,other,0
16,0,male,9,1,3.35,31,white,management,other,1
16,0,male,8,1,13.45,30,other,management,other,1
15,0,male,1,0,4.84,22,white,management,other,0
17,1,male,32,1,26.29,55,white,management,other,0
12,0,female,24,1,6.58,42,white,management,other,0
14,0,female,1,1,44.5,21,white,management,other,1
12,0,male,42,1,15,60,white,management,manufacturing,0
16,0,female,3,1,11.25,25,other,management,manufacturing,1
12,0,female,32,1,7,50,white,management,other,0
14,0,male,22,1,10,42,other,management,other,1
16,0,male,18,1,14.53,40,white,management,other,0
18,0,female,19,1,20,43,white,management,other,0
15,0,male,12,1,22.5,33,white,management,other,0
12,0,female,42,1,3.64,60,white,management,other,0
12,1,male,34,1,10.62,52,white,management,other,0
18,0,male,29,1,24.98,53,white,management,other,0
16,1,male,8,1,6,30,white,management,other,1
18,0,male,13,1,19,37,white,management,manufacturing,1
16,0,male,10,1,13.2,32,white,management,other,1
16,0,male,22,1,22.5,44,white,management,other,0
16,1,male,10,1,15,32,white,management,other,0
17,0,female,15,1,6.88,38,white,management,other,0
12,0,male,26,1,11.84,44,white,management,other,0
14,0,male,16,1,16.14,36,white,management,other,1
18,0,female,14,1,13.95,38,white,management,other,0
12,0,female,38,1,13.16,56,white,management,other,0
12,1,male,14,1,5.3,32,other,management,other,0
12,0,female,7,1,4.5,25,white,management,other,0
18,1,female,13,1,10,37,white,management,other,1
10,0,male,20,1,10,36,white,management,other,0
16,0,male,7,0,10,29,hispanic,management,other,0
16,0,female,26,1,9.37,48,white,management,other,0
16,0,male,14,1,5.8,36,white,management,other,0
13,0,male,36,1,17.86,55,white,management,other,1
12,0,male,24,1,1,42,white,management,other,0
14,1,male,41,1,8.8,61,white,management,other,0
16,0,male,7,1,9,29,other,management,other,0
17,1,male,14,1,18.16,37,white,management,other,1
12,1,female,1,1,7.81,19,white,management,other,1
16,0,female,6,1,10.62,28,white,management,manufacturing,0
12,0,female,3,1,4.5,21,white,management,other,0
15,0,male,31,1,17.25,52,white,management,other,0
13,0,female,14,1,10.5,33,white,management,manufacturing,0
14,0,female,13,1,9.22,33,white,management,other,0
16,0,male,26,0,15,48,other,management,manufacturing,0
18,0,male,14,1,22.5,38,white,management,other,0
13,0,female,33,1,4.55,52,white,sales,other,0
12,0,male,16,1,9,34,white,sales,other,0
18,0,male,10,1,13.33,34,white,sales,other,0
14,0,male,22,1,15,42,white,sales,other,1
14,0,male,2,1,7.5,22,white,sales,other,1
12,1,female,29,1,4.25,47,white,sales,other,0
12,0,male,43,1,12.5,61,white,sales,manufacturing,0
12,0,female,5,1,5.13,23,white,sales,other,0
16,1,female,14,1,3.35,36,other,sales,other,0
12,1,male,28,1,11.11,46,white,sales,other,0
11,1,female,25,1,3.84,42,other,sales,other,0
12,0,female,45,1,6.4,63,white,sales,other,0
14,1,male,5,1,5.56,25,white,sales,other,1
12,1,male,20,1,10,38,white,sales,manufacturing,0
16,0,female,6,1,5.65,28,white,sales,other,0
16,0,male,16,1,11.5,38,white,sales,other,0
11,0,female,33,1,3.5,50,white,sales,other,0
13,1,female,2,1,3.35,21,white,sales,other,0
12,1,female,10,1,4.75,28,white,sales,other,1
14,1,male,44,1,19.98,64,white,sales,other,0
14,1,female,6,1,3.5,26,white,sales,other,0
12,0,female,15,1,4,33,white,sales,other,1
12,0,male,5,1,7,23,white,sales,other,0
13,0,female,4,1,6.25,23,white,sales,manufacturing,0
14,0,male,14,1,4.5,34,white,sales,other,0
14,0,female,32,1,14.29,52,white,sales,other,0
12,0,female,14,1,5,32,white,sales,other,0
14,0,male,21,1,13.75,41,white,sales,other,0
12,0,male,43,0,13.71,61,white,sales,other,0
12,1,female,27,1,7.5,45,other,sales,other,0
12,0,female,4,1,3.8,22,white,sales,other,1
14,0,male,0,1,5,20,hispanic,sales,other,1
12,1,male,32,1,9.42,50,white,sales,other,0
12,0,male,20,1,5.5,38,white,sales,other,0
15,1,male,4,1,3.75,25,white,sales,other,1
12,0,male,34,1,3.5,52,white,sales,other,0
13,0,male,5,1,5.8,24,white,sales,other,1
17,0,male,13,1,12,36,white,sales,manufacturing,0
14,0,female,17,1,5,37,hispanic,clerical,other,0
13,1,female,10,1,8.75,29,white,clerical,other,0
16,0,female,7,1,10,29,white,clerical,other,0
12,0,female,25,1,8.5,43,white,clerical,other,1
12,0,female,18,1,8.63,36,other,clerical,other,0
16,0,female,27,1,9,49,white,clerical,manufacturing,0
16,0,female,2,1,5.5,24,white,clerical,other,1
13,0,male,13,1,11.11,32,white,clerical,other,0
14,0,female,24,1,10,44,white,clerical,other,1
18,1,female,13,1,5.2,37,hispanic,clerical,other,0
14,0,female,15,0,8,35,white,clerical,other,1
12,1,female,12,1,3.56,30,hispanic,clerical,other,1
12,0,female,24,1,5.2,42,white,clerical,other,0
12,0,female,43,1,11.67,61,white,clerical,construction,0
12,0,female,13,1,11.32,31,white,clerical,manufacturing,0
12,1,female,16,1,7.5,34,white,clerical,other,0
11,0,female,24,1,5.5,41,white,clerical,other,0
16,1,female,4,1,5,26,white,clerical,other,0
12,0,female,24,1,7.75,42,white,clerical,other,0
12,0,female,45,1,5.25,63,white,clerical,other,0
12,0,male,20,0,9,38,white,clerical,other,0
12,0,female,38,1,9.65,56,white,clerical,other,0
18,1,male,10,1,5.21,34,white,clerical,other,0
11,0,female,16,1,7,33,other,clerical,other,0
12,1,female,32,1,12.16,50,other,clerical,other,0
16,1,female,2,1,5.25,24,white,clerical,other,1
13,1,female,28,1,10.32,47,white,clerical,other,1
16,0,male,3,1,3.35,25,other,clerical,other,1
13,0,female,8,0,7.7,27,white,clerical,other,1
12,0,female,44,1,9.17,62,white,clerical,manufacturing,0
12,1,male,12,1,8.43,30,white,clerical,other,0
12,1,male,8,1,4,26,other,clerical,other,0
12,0,female,4,1,4.13,22,white,clerical,other,0
12,1,female,28,1,3,46,white,clerical,other,0
13,1,female,0,1,4.25,19,white,clerical,other,1
14,1,male,1,1,7.53,21,white,clerical,other,1
14,0,female,12,1,10.53,32,white,clerical,manufacturing,0
12,0,female,39,1,5,57,white,clerical,other,0
12,0,female,24,1,15.03,42,white,clerical,other,0
17,0,female,32,1,11.25,55,other,clerical,other,0
16,0,male,4,1,6.25,26,other,clerical,other,1
12,0,female,25,1,3.5,43,other,clerical,other,1
12,0,male,8,1,6.85,26,other,clerical,other,1
13,0,female,16,1,12.5,35,white,clerical,other,0
12,1,male,5,1,12,23,white,clerical,other,1
13,0,male,31,1,6,50,white,clerical,other,1
12,0,female,25,1,9.5,43,white,clerical,other,1
12,0,female,15,1,4.1,33,white,clerical,other,0
14,1,female,15,1,10.43,35,white,clerical,other,0
12,0,female,0,1,5,18,white,clerical,other,1
12,0,male,19,1,7.69,37,white,clerical,other,0
12,0,female,21,1,5.5,39,other,clerical,other,1
12,0,female,6,1,6.4,24,white,clerical,other,1
12,0,female,14,0,12.5,32,white,clerical,other,0
13,0,female,30,1,6.25,49,white,clerical,other,0
12,0,female,8,1,8,26,white,clerical,other,1
9,0,male,33,0,9.6,48,white,clerical,other,1
13,0,male,16,1,9.1,35,hispanic,clerical,other,1
12,1,female,20,1,7.5,38,white,clerical,other,1
13,1,female,6,1,5,25,white,clerical,other,0
12,0,female,10,0,7,28,white,clerical,other,0
13,1,female,1,1,3.55,20,white,clerical,other,1
12,1,male,2,1,8.5,20,other,clerical,other,1
13,1,female,0,1,4.5,19,white,clerical,other,1
16,0,male,17,1,7.88,39,other,clerical,other,0
12,0,female,8,1,5.25,26,white,clerical,other,1
12,1,male,4,1,5,22,white,clerical,other,1
12,0,female,15,1,9.33,33,white,clerical,other,1
12,0,female,29,1,10.5,47,white,clerical,other,0
12,1,female,23,1,7.5,41,other,clerical,other,0
12,1,female,39,1,9.5,57,white,clerical,other,0
12,1,female,14,1,9.6,32,white,clerical,other,0
17,1,female,6,1,5.87,29,other,clerical,other,1
14,1,male,12,0,11.02,32,white,clerical,other,0
12,1,female,26,1,5,44,white,clerical,other,1
14,0,female,32,1,5.62,52,white,clerical,other,0
15,0,female,6,1,12.5,27,white,clerical,other,0
12,0,female,40,1,10.81,58,white,clerical,other,0
12,0,female,18,1,5.4,36,white,clerical,manufacturing,0
11,0,female,12,1,7,29,white,clerical,other,1
12,1,female,36,1,4.59,54,white,clerical,construction,0
12,0,female,19,1,6,37,white,clerical,other,0
16,0,female,42,1,11.71,64,white,clerical,manufacturing,1
13,0,female,2,1,5.62,21,hispanic,clerical,other,0
12,0,female,33,1,5.5,51,white,clerical,other,0
12,1,female,14,1,4.85,32,white,clerical,other,0
12,0,male,22,1,6.75,40,white,clerical,other,1
12,0,female,20,1,4.25,38,white,clerical,other,0
12,0,female,15,1,5.75,33,white,clerical,other,0
12,0,male,35,1,3.5,53,white,clerical,other,0
12,0,female,7,1,3.35,25,white,clerical,other,0
12,0,female,45,1,10.62,63,white,clerical,manufacturing,1
12,0,female,9,1,8,27,white,clerical,other,1
12,1,female,2,1,4.75,20,white,clerical,other,0
17,1,male,3,1,8.5,26,white,clerical,other,1
14,0,female,19,0,8.85,39,other,clerical,other,0
12,1,female,14,1,8,32,white,clerical,other,0
4,0,male,54,1,6,64,white,service,other,0
14,0,male,17,1,7.14,37,white,service,other,0
8,0,female,29,1,3.4,43,other,service,other,0
15,1,female,26,1,6,47,white,service,other,1
2,0,male,16,1,3.75,24,hispanic,service,other,1
8,0,female,29,1,8.89,43,other,service,other,1
11,0,female,20,1,4.35,37,white,service,other,0
10,1,female,38,1,13.1,54,other,service,other,0
8,1,female,37,1,4.35,51,other,service,other,0
9,0,male,48,1,3.5,63,white,service,other,1
12,0,female,16,1,3.8,34,white,service,other,1
8,0,female,38,1,5.26,52,white,service,other,0
14,0,male,0,1,3.35,20,other,service,other,1
12,0,male,14,0,16.26,32,other,service,other,1
12,0,female,2,1,4.25,20,white,service,other,0
16,0,male,21,1,4.5,43,white,service,other,0
13,0,female,15,1,8,34,white,service,other,0
16,0,female,20,1,4,42,white,service,other,1
14,0,female,12,1,7.96,32,white,service,other,0
12,1,male,7,1,4,25,hispanic,service,other,1
11,0,male,4,1,4.15,21,white,service,other,0
13,1,male,9,1,5.95,28,white,service,other,0
12,1,female,43,1,3.6,61,hispanic,service,other,0
10,1,male,19,1,8.75,35,white,service,other,1
8,0,female,49,1,3.4,63,white,service,other,1
12,0,female,38,1,4.28,56,white,service,other,0
12,0,female,13,1,5.35,31,white,service,other,0
12,0,female,14,1,5,32,white,service,other,0
12,0,male,20,1,7.65,38,white,service,other,1
12,0,female,7,1,6.94,25,white,service,other,1
12,0,female,9,0,7.5,27,white,service,manufacturing,0
12,0,female,6,1,3.6,24,white,service,other,1
12,1,female,5,1,1.75,23,white,service,other,0
13,1,female,1,1,3.45,20,other,service,other,1
14,0,male,22,0,9.63,42,white,service,other,0
12,0,female,24,1,8.49,42,white,service,other,0
12,0,female,15,0,8.99,33,white,service,other,1
11,1,female,8,1,3.65,25,white,service,other,0
11,1,female,17,1,3.5,34,white,service,other,0
12,1,male,2,1,3.43,20,other,service,other,1
12,1,male,20,1,5.5,38,white,service,other,0
12,0,male,26,0,6.93,44,white,service,other,0
10,1,female,37,1,3.51,53,other,service,other,0
12,0,female,41,1,3.75,59,white,service,other,1
12,0,female,27,1,4.17,45,white,service,other,0
12,0,female,5,0,9.57,23,white,service,other,0
14,0,male,16,1,14.67,36,other,service,other,0
14,0,female,19,1,12.5,39,white,service,other,0
12,0,male,10,1,5.5,28,white,service,other,0
13,1,male,1,0,5.15,20,white,service,other,1
12,0,female,43,0,8,61,other,service,other,0
13,0,male,3,1,5.83,22,other,service,other,1
12,0,female,0,1,3.35,18,white,service,other,1
12,1,female,26,1,7,44,white,service,other,0
10,0,female,25,0,10,41,white,service,other,0
12,0,female,15,1,8,33,white,service,other,0
14,1,female,10,1,6.88,30,white,service,other,1
11,0,female,45,0,5.55,62,white,service,other,1
11,0,male,3,1,7.5,20,other,service,other,1
8,0,male,47,0,8.93,61,hispanic,service,other,0
16,0,female,6,1,9,28,other,service,other,0
10,1,female,33,1,3.5,49,white,service,other,1
16,0,male,3,1,5.77,25,white,service,manufacturing,1
14,0,male,4,0,25,24,hispanic,service,other,1
14,0,male,34,0,6.85,54,other,service,other,0
11,1,male,39,1,6.5,56,white,service,other,0
12,1,female,17,1,3.75,35,white,service,other,0
9,0,male,47,0,3.5,62,white,service,other,0
11,0,male,2,1,4.5,19,white,service,other,1
13,1,male,0,1,2.01,19,white,service,other,1
14,0,female,24,1,4.17,44,white,service,other,1
12,0,male,25,0,13,43,other,service,other,0
14,0,female,6,1,3.98,26,white,service,other,1
12,0,female,10,1,7.5,28,white,service,other,1
12,0,female,33,1,13.12,51,other,service,other,0
12,0,male,12,1,4,30,white,service,other,1
12,1,female,9,1,3.95,27,white,service,other,0
11,1,male,18,0,13,35,white,service,other,0
12,0,male,10,1,9,28,white,service,other,0
8,1,female,45,1,4.55,59,white,service,other,1
9,0,female,46,0,9.5,61,white,service,other,0
7,1,male,14,1,4.5,27,hispanic,service,other,0
11,0,female,36,1,8.75,53,white,service,other,1
13,0,male,34,0,10,53,white,professional,construction,0
18,0,male,15,1,18,39,white,professional,other,0
17,0,male,31,1,24.98,54,white,professional,manufacturing,0
16,0,female,6,1,12.05,28,white,professional,manufacturing,1
14,1,male,15,1,22,35,white,professional,other,0
12,0,male,30,1,8.75,48,white,professional,other,0
18,0,male,8,1,22.2,32,white,professional,other,0
18,0,male,5,1,17.25,29,white,professional,manufacturing,0
17,0,female,3,0,6,26,white,professional,other,1
13,1,male,17,1,8.06,36,white,professional,other,0
16,0,male,5,0,9.24,27,other,professional,manufacturing,0
14,0,female,10,1,12,30,white,professional,other,0
15,0,female,33,1,10.61,54,white,professional,other,1
18,0,male,3,1,5.71,27,white,professional,other,0
16,0,female,0,1,10,18,white,professional,other,1
16,1,male,13,1,17.5,35,other,professional,other,0
18,0,male,12,1,15,36,white,professional,other,0
16,0,female,6,1,7.78,28,white,professional,other,0
17,0,male,7,1,7.8,30,white,professional,other,0
16,1,male,14,0,10,36,white,professional,other,0
17,0,female,5,1,24.98,28,white,professional,other,1
15,1,female,10,1,10.28,31,white,professional,other,0
18,0,female,11,1,15,35,white,professional,other,0
17,0,female,24,1,12,47,white,professional,other,0
16,0,male,9,1,10.58,31,white,professional,manufacturing,1
18,1,male,12,1,5.85,36,white,professional,other,0
18,0,male,19,1,11.22,43,white,professional,other,0
14,0,female,14,1,8.56,34,white,professional,other,0
16,0,female,17,1,13.89,39,white,professional,manufacturing,1
18,1,male,7,1,5.71,31,white,professional,other,1
18,0,male,7,1,15.79,31,white,professional,other,0
16,0,female,22,1,7.5,44,white,professional,other,0
12,0,female,28,1,11.25,46,white,professional,other,0
16,0,female,16,1,6.15,38,white,professional,other,1
16,1,male,16,1,13.45,38,other,professional,other,1
16,0,female,7,1,6.25,29,white,professional,other,0
12,0,female,11,1,6.5,29,white,professional,other,1
12,0,female,11,1,12,29,white,professional,other,0
12,0,female,16,1,8.5,34,white,professional,other,1
18,0,male,33,0,8,57,white,professional,other,1
12,1,female,21,1,5.75,39,white,professional,other,0
16,0,male,4,1,15.73,26,white,professional,manufacturing,0
15,0,male,13,1,9.86,34,white,professional,other,0
18,0,male,14,0,13.51,38,white,professional,other,0
16,0,female,10,1,5.4,32,white,professional,other,0
18,1,male,14,1,6.25,38,white,professional,other,0
16,1,male,29,1,5.5,51,white,professional,other,0
12,0,male,4,1,5,22,hispanic,professional,other,1
18,0,male,27,1,6.25,51,other,professional,other,0
12,0,male,3,1,5.75,21,white,professional,other,0
16,1,male,14,0,20.5,36,white,professional,other,0
14,0,male,0,1,5,20,white,professional,construction,0
18,0,male,33,1,7,57,white,professional,other,0
16,1,male,38,1,18,60,white,professional,other,0
18,0,female,18,0,12,42,white,professional,other,0
17,0,male,3,1,20.4,26,white,professional,manufacturing,1
18,0,female,40,1,22.2,64,white,professional,other,1
14,0,male,19,1,16.42,39,white,professional,manufacturing,1
14,0,female,4,1,8.63,24,white,professional,other,1
16,0,female,11,1,19.38,33,white,professional,other,0
16,0,female,16,1,14,38,white,professional,other,0
14,0,male,22,1,10,42,white,professional,other,0
17,0,female,13,0,15.95,36,white,professional,other,1
16,1,female,28,0,20,50,white,professional,other,0
16,0,female,10,1,10,32,white,professional,other,0
16,1,female,5,1,24.98,27,white,professional,other,1
15,0,male,5,1,11.25,26,white,professional,other,1
18,0,female,37,1,22.83,61,white,professional,manufacturing,1
17,0,female,26,0,10.2,49,white,professional,other,0
16,1,female,4,1,10,26,white,professional,other,0
18,0,female,31,0,14,55,white,professional,other,1
17,0,female,13,0,12.5,36,white,professional,other,0
12,0,female,42,1,5.79,60,white,professional,other,0
17,0,male,18,1,24.98,41,hispanic,professional,other,0
12,0,female,3,1,4.35,21,white,professional,other,0
17,0,female,10,1,11.25,33,white,professional,other,1
16,0,female,10,0,6.67,32,white,professional,other,1
16,0,female,17,1,8,39,hispanic,professional,other,0
18,0,male,7,1,18.16,31,white,professional,other,0
16,0,female,14,1,12,36,white,professional,other,0
16,0,female,22,0,8.89,44,white,professional,other,0
17,0,female,14,1,9.5,37,white,professional,other,0
16,0,male,11,1,13.65,33,white,professional,other,0
18,0,male,23,0,12,47,white,professional,other,0
12,0,male,39,0,15,57,white,professional,other,0
16,0,male,15,1,12.67,37,white,professional,other,0
14,0,female,15,1,7.38,35,hispanic,professional,other,1
16,0,male,10,1,15.56,32,white,professional,other,1
12,1,female,25,1,7.45,43,white,professional,other,1
14,0,female,12,1,6.25,32,white,professional,other,0
16,1,female,7,1,6.25,29,hispanic,professional,other,0
17,0,male,7,0,9.37,30,white,professional,other,0
16,0,male,17,1,22.5,39,white,professional,manufacturing,0
16,0,male,10,0,7.5,32,white,professional,other,0
17,1,male,2,1,7,25,white,professional,other,0
9,1,female,34,0,5.75,49,other,professional,other,0
15,0,female,11,1,7.67,32,white,professional,other,0
15,0,male,10,1,12.5,31,white,professional,other,1
12,1,male,12,1,16,30,white,professional,other,0
16,0,female,6,0,11.79,28,white,professional,other,1
18,0,male,5,1,11.36,29,white,professional,other,1
12,0,female,33,1,6.1,51,other,professional,other,0
17,0,female,25,0,23.25,48,other,professional,other,0
12,1,male,13,0,19.88,31,white,professional,other,0
16,0,male,33,1,15.38,55,white,professional,manufacturing,0
