base.aflattenBy.assign,"base.aflattenBy.assign( x:Array, shape:Array<integer>, colex:boolean, out:Collection, stride:integer, offset:integer, clbk:Function[, thisArg:any] )"
base.afliplr2d,"base.afliplr2d( x:ArrayLikeObject )"
base.afliplr3d,"base.afliplr3d( x:ArrayLikeObject )"
base.afliplr4d,"base.afliplr4d( x:ArrayLikeObject )"
base.afliplr5d,"base.afliplr5d( x:ArrayLikeObject )"
base.aflipud2d,"base.aflipud2d( x:ArrayLikeObject )"
base.aflipud3d,"base.aflipud3d( x:ArrayLikeObject )"
base.aflipud4d,"base.aflipud4d( x:ArrayLikeObject )"
base.aflipud5d,"base.aflipud5d( x:ArrayLikeObject )"
base.ahavercos,"base.ahavercos( x:number )"
base.ahaversin,"base.ahaversin( x:number )"
base.altcase,"base.altcase( str:string )"
base.aones,"base.aones( len:integer )"
base.aones2d,"base.aones2d( shape:Array<integer> )"
base.aones3d,"base.aones3d( shape:Array<integer> )"
base.aones4d,"base.aones4d( shape:Array<integer> )"
base.aones5d,"base.aones5d( shape:Array<integer> )"
base.aonesnd,"base.aonesnd( shape:Array<integer> )"
base.aoneTo,"base.aoneTo( n:number )"
base.aoneTo.assign,"base.aoneTo.assign( out:ArrayLikeObject, stride:integer, offset:integer )"
base.args2multislice,"base.args2multislice( args:Array<Slice|integer|null|undefined> )"
base.asec,"base.asec( x:number )"
base.asecd,"base.asecd( x:number )"
base.asecdf,"base.asecdf( x:number )"
base.asecf,"base.asecf( x:number )"
base.asech,"base.asech( x:number )"
base.asin,"base.asin( x:number )"
base.asind,"base.asind( x:number )"
base.asindf,"base.asindf( x:number )"
base.asinf,"base.asinf( x:number )"
base.asinh,"base.asinh( x:number )"
base.atan,"base.atan( x:number )"
base.atan2,"base.atan2( y:number, x:number )"
base.atand,"base.atand( x:number )"
base.atanf,"base.atanf( x:number )"
base.atanh,"base.atanh( x:number )"
base.avercos,"base.avercos( x:number )"
base.aversin,"base.aversin( x:number )"
base.azeros,"base.azeros( len:integer )"
base.azeros2d,"base.azeros2d( shape:Array<integer> )"
base.azeros3d,"base.azeros3d( shape:Array<integer> )"
base.azeros4d,"base.azeros4d( shape:Array<integer> )"
base.azeros5d,"base.azeros5d( shape:Array<integer> )"
base.azerosnd,"base.azerosnd( shape:Array<integer> )"
base.azeroTo,"base.azeroTo( n:number )"
base.azeroTo.assign,"base.azeroTo.assign( out:ArrayLikeObject, stride:integer, offset:integer )"
base.bernoulli,"base.bernoulli( n:integer )"
base.besselj0,"base.besselj0( x:number )"
base.besselj1,"base.besselj1( x:number )"
base.bessely0,"base.bessely0( x:number )"
base.bessely1,"base.bessely1( x:number )"
base.beta,"base.beta( x:number, y:number )"
base.betainc,"base.betainc( x:number, a:number, b:number[, regularized:boolean[, upper:boolean]] )"
base.betaincinv,"base.betaincinv( p:number, a:number, b:number[, upper:boolean] )"
base.betaln,"base.betaln( a:number, b:number )"
base.binet,"base.binet( x:number )"
base.binomcoef,"base.binomcoef( n:integer, k:integer )"
base.binomcoefln,"base.binomcoefln( n:integer, k:integer )"
base.boxcox,"base.boxcox( x:number, lambda:number )"
base.boxcox1p,"base.boxcox1p( x:number, lambda:number )"
base.boxcox1pinv,"base.boxcox1pinv( y:number, lambda:number )"
base.boxcoxinv,"base.boxcoxinv( y:number, lambda:number )"
base.cabs,"base.cabs( z:Complex128 )"
base.cabs2,"base.cabs2( z:Complex128 )"
base.cabs2f,"base.cabs2f( z:Complex64 )"
base.cabsf,"base.cabsf( z:Complex64 )"
base.cadd,"base.cadd( z1:Complex128, z2:Complex128 )"
base.caddf,"base.caddf( z1:Complex64, z2:Complex64 )"
base.camelcase,"base.camelcase( str:string )"
base.capitalize,"base.capitalize( str:string )"
base.cbrt,"base.cbrt( x:number )"
base.cbrtf,"base.cbrtf( x:number )"
base.cceil,"base.cceil( z:Complex128 )"
base.cceilf,"base.cceilf( z:Complex64 )"
base.cceiln,"base.cceiln( z:Complex128, n:integer )"
base.ccis,"base.ccis( z:Complex128 )"
base.cdiv,"base.cdiv( z1:Complex128, z2:Complex128 )"
base.ceil,"base.ceil( x:number )"
base.ceil2,"base.ceil2( x:number )"
base.ceil10,"base.ceil10( x:number )"
base.ceilb,"base.ceilb( x:number, n:integer, b:integer )"
base.ceilf,"base.ceilf( x:number )"
base.ceiln,"base.ceiln( x:number, n:integer )"
base.ceilsd,"base.ceilsd( x:number, n:integer, b:integer )"
base.cexp,"base.cexp( z:Complex128 )"
base.cflipsign,"base.cflipsign( z:Complex128, y:number )"
base.cflipsignf,"base.cflipsignf( z:Complex64, y:number )"
base.cfloor,"base.cfloor( z:Complex128 )"
base.cfloorn,"base.cfloorn( z:Complex128, n:integer )"
base.cidentity,"base.cidentity( z:Complex128 )"
base.cidentityf,"base.cidentityf( z:Complex64 )"
base.cinv,"base.cinv( z:Complex128 )"
base.clamp,"base.clamp( v:number, min:number, max:number )"
base.clampf,"base.clampf( v:number, min:number, max:number )"
base.cmul,"base.cmul( z1:Complex128, z2:Complex128 )"
base.cmulf,"base.cmulf( z1:Complex64, z2:Complex64 )"
base.cneg,"base.cneg( z )"
base.cnegf,"base.cnegf( z )"
base.codePointAt,"base.codePointAt( str:string, idx:integer, backward:boolean )"
base.constantcase,"base.constantcase( str:string )"
base.continuedFraction,"base.continuedFraction( generator:Function[, options:Object] )"
base.copysign,"base.copysign( x:number, y:number )"
base.copysignf,"base.copysignf( x:number, y:number )"
base.cos,"base.cos( x:number )"
base.cosd,"base.cosd( x:number )"
base.cosh,"base.cosh( x:number )"
base.cosm1,"base.cosm1( x:number )"
base.cospi,"base.cospi( x:number )"
base.cot,"base.cot( x:number )"
base.cotd,"base.cotd( x:number )"
base.coth,"base.coth( x:number )"
base.covercos,"base.covercos( x:number )"
base.coversin,"base.coversin( x:number )"
base.cphase,"base.cphase( z:Complex128 )"
base.cpolar,"base.cpolar( z:Complex128 )"
base.cpolar.assign,"base.cpolar.assign( z:Complex128, out:Array|TypedArray|Object, stride:integer, offset:integer )"
base.cround,"base.cround( z:Complex128 )"
base.croundn,"base.croundn( z:Complex128, n:integer )"
base.csc,"base.csc( x:number )"
base.cscd,"base.cscd( x:number )"
base.csch,"base.csch( x:number )"
base.csignum,"base.csignum( z:Complex128 )"
base.csub,"base.csub( z1:Complex128, z2:Complex128 )"
base.csubf,"base.csubf( z1:Complex64, z2:Complex64 )"
base.deg2rad,"base.deg2rad( x:number )"
base.deg2radf,"base.deg2radf( x:number )"
base.digamma,"base.digamma( x:number )"
base.diracDelta,"base.diracDelta( x:number )"
base.div,"base.div( x:number, y:number )"
base.divf,"base.divf( x:number, y:number )"
base.dotcase,"base.dotcase( str:string )"
base.dists.arcsine.Arcsine,"base.dists.arcsine.Arcsine( [a:number, b:number] )"
base.dists.arcsine.cdf,"base.dists.arcsine.cdf( x:number, a:number, b:number )"
base.dists.arcsine.cdf.factory,"base.dists.arcsine.cdf.factory( a:number, b:number )"
base.dists.arcsine.entropy,"base.dists.arcsine.entropy( a:number, b:number )"
base.dists.arcsine.kurtosis,"base.dists.arcsine.kurtosis( a:number, b:number )"
base.dists.arcsine.logcdf,"base.dists.arcsine.logcdf( x:number, a:number, b:number )"
base.dists.arcsine.logcdf.factory,"base.dists.arcsine.logcdf.factory( a:number, b:number )"
base.dists.arcsine.logpdf,"base.dists.arcsine.logpdf( x:number, a:number, b:number )"
base.dists.arcsine.logpdf.factory,"base.dists.arcsine.logpdf.factory( a:number, b:number )"
base.dists.arcsine.mean,"base.dists.arcsine.mean( a:number, b:number )"
base.dists.arcsine.median,"base.dists.arcsine.median( a:number, b:number )"
base.dists.arcsine.mode,"base.dists.arcsine.mode( a:number, b:number )"
base.dists.arcsine.pdf,"base.dists.arcsine.pdf( x:number, a:number, b:number )"
base.dists.arcsine.pdf.factory,"base.dists.arcsine.pdf.factory( a:number, b:number )"
base.dists.arcsine.quantile,"base.dists.arcsine.quantile( p:number, a:number, b:number )"
base.dists.arcsine.quantile.factory,"base.dists.arcsine.quantile.factory( a:number, b:number )"
base.dists.arcsine.skewness,"base.dists.arcsine.skewness( a:number, b:number )"
base.dists.arcsine.stdev,"base.dists.arcsine.stdev( a:number, b:number )"
base.dists.arcsine.variance,"base.dists.arcsine.variance( a:number, b:number )"
base.dists.bernoulli.Bernoulli,"base.dists.bernoulli.Bernoulli( [p:number] )"
base.dists.bernoulli.cdf,"base.dists.bernoulli.cdf( x:number, p:number )"
base.dists.bernoulli.cdf.factory,"base.dists.bernoulli.cdf.factory( p:number )"
base.dists.bernoulli.entropy,"base.dists.bernoulli.entropy( p:number )"
base.dists.bernoulli.kurtosis,"base.dists.bernoulli.kurtosis( p:number )"
base.dists.bernoulli.mean,"base.dists.bernoulli.mean( p:number )"
base.dists.bernoulli.median,"base.dists.bernoulli.median( p:number )"
base.dists.bernoulli.mgf,"base.dists.bernoulli.mgf( t:number, p:number )"
base.dists.bernoulli.mgf.factory,"base.dists.bernoulli.mgf.factory( p:number )"
base.dists.bernoulli.mode,"base.dists.bernoulli.mode( p:number )"
base.dists.bernoulli.pmf,"base.dists.bernoulli.pmf( x:number, p:number )"
base.dists.bernoulli.pmf.factory,"base.dists.bernoulli.pmf.factory( p:number )"
base.dists.bernoulli.quantile,"base.dists.bernoulli.quantile( r:number, p:number )"
base.dists.bernoulli.quantile.factory,"base.dists.bernoulli.quantile.factory( p:number )"
base.dists.bernoulli.skewness,"base.dists.bernoulli.skewness( p:number )"
base.dists.bernoulli.stdev,"base.dists.bernoulli.stdev( p:number )"
base.dists.bernoulli.variance,"base.dists.bernoulli.variance( p:number )"
base.dists.beta.Beta,"base.dists.beta.Beta( [α:number, β:number] )"
base.dists.beta.cdf,"base.dists.beta.cdf( x:number, α:number, β:number )"
base.dists.beta.cdf.factory,"base.dists.beta.cdf.factory( α:number, β:number )"
base.dists.beta.entropy,"base.dists.beta.entropy( α:number, β:number )"
base.dists.beta.kurtosis,"base.dists.beta.kurtosis( α:number, β:number )"
base.dists.beta.logcdf,"base.dists.beta.logcdf( x:number, α:number, β:number )"
base.dists.beta.logcdf.factory,"base.dists.beta.logcdf.factory( α:number, β:number )"
base.dists.beta.logpdf,"base.dists.beta.logpdf( x:number, α:number, β:number )"
base.dists.beta.logpdf.factory,"base.dists.beta.logpdf.factory( α:number, β:number )"
base.dists.beta.mean,"base.dists.beta.mean( α:number, β:number )"
base.dists.beta.median,"base.dists.beta.median( α:number, β:number )"
base.dists.beta.mgf,"base.dists.beta.mgf( t:number, α:number, β:number )"
base.dists.beta.mgf.factory,"base.dists.beta.mgf.factory( α:number, β:number )"
base.dists.beta.mode,"base.dists.beta.mode( α:number, β:number )"
base.dists.beta.pdf,"base.dists.beta.pdf( x:number, α:number, β:number )"
base.dists.beta.pdf.factory,"base.dists.beta.pdf.factory( α:number, β:number )"
base.dists.beta.quantile,"base.dists.beta.quantile( p:number, α:number, β:number )"
base.dists.beta.quantile.factory,"base.dists.beta.quantile.factory( α:number, β:number )"
base.dists.beta.skewness,"base.dists.beta.skewness( α:number, β:number )"
base.dists.beta.stdev,"base.dists.beta.stdev( α:number, β:number )"
base.dists.beta.variance,"base.dists.beta.variance( α:number, β:number )"
base.dists.betaprime.BetaPrime,"base.dists.betaprime.BetaPrime( [α:number, β:number] )"
base.dists.betaprime.cdf,"base.dists.betaprime.cdf( x:number, α:number, β:number )"
base.dists.betaprime.cdf.factory,"base.dists.betaprime.cdf.factory( α:number, β:number )"
base.dists.betaprime.kurtosis,"base.dists.betaprime.kurtosis( α:number, β:number )"
base.dists.betaprime.logcdf,"base.dists.betaprime.logcdf( x:number, α:number, β:number )"
base.dists.betaprime.logcdf.factory,"base.dists.betaprime.logcdf.factory( α:number, β:number )"
base.dists.betaprime.logpdf,"base.dists.betaprime.logpdf( x:number, α:number, β:number )"
base.dists.betaprime.logpdf.factory,"base.dists.betaprime.logpdf.factory( α:number, β:number )"
base.dists.betaprime.mean,"base.dists.betaprime.mean( α:number, β:number )"
base.dists.betaprime.mode,"base.dists.betaprime.mode( α:number, β:number )"
base.dists.betaprime.pdf,"base.dists.betaprime.pdf( x:number, α:number, β:number )"
base.dists.betaprime.pdf.factory,"base.dists.betaprime.pdf.factory( α:number, β:number )"
base.dists.betaprime.quantile,"base.dists.betaprime.quantile( p:number, α:number, β:number )"
base.dists.betaprime.quantile.factory,"base.dists.betaprime.quantile.factory( α:number, β:number )"
base.dists.betaprime.skewness,"base.dists.betaprime.skewness( α:number, β:number )"
base.dists.betaprime.stdev,"base.dists.betaprime.stdev( α:number, β:number )"
base.dists.betaprime.variance,"base.dists.betaprime.variance( α:number, β:number )"
base.dists.binomial.Binomial,"base.dists.binomial.Binomial( [n:integer, p:number] )"
base.dists.binomial.cdf,"base.dists.binomial.cdf( x:number, n:integer, p:number )"
base.dists.binomial.cdf.factory,"base.dists.binomial.cdf.factory( n:integer, p:number )"
base.dists.binomial.entropy,"base.dists.binomial.entropy( n:integer, p:number )"
base.dists.binomial.kurtosis,"base.dists.binomial.kurtosis( n:integer, p:number )"
base.dists.binomial.logpmf,"base.dists.binomial.logpmf( x:number, n:integer, p:number )"
base.dists.binomial.logpmf.factory,"base.dists.binomial.logpmf.factory( n:integer, p:number )"
base.dists.binomial.mean,"base.dists.binomial.mean( n:integer, p:number )"
base.dists.binomial.median,"base.dists.binomial.median( n:integer, p:number )"
base.dists.binomial.mgf,"base.dists.binomial.mgf( t:number, n:integer, p:number )"
base.dists.binomial.mgf.factory,"base.dists.binomial.mgf.factory( n:integer, p:number )"
base.dists.binomial.mode,"base.dists.binomial.mode( n:integer, p:number )"
base.dists.binomial.pmf,"base.dists.binomial.pmf( x:number, n:integer, p:number )"
base.dists.binomial.pmf.factory,"base.dists.binomial.pmf.factory( n:integer, p:number )"
base.dists.binomial.quantile,"base.dists.binomial.quantile( r:number, n:integer, p:number )"
base.dists.binomial.quantile.factory,"base.dists.binomial.quantile.factory( n:integer, p:number )"
base.dists.binomial.skewness,"base.dists.binomial.skewness( n:integer, p:number )"
base.dists.binomial.stdev,"base.dists.binomial.stdev( n:integer, p:number )"
base.dists.binomial.variance,"base.dists.binomial.variance( n:integer, p:number )"
base.dists.cauchy.Cauchy,"base.dists.cauchy.Cauchy( [x0:number, Ɣ:number] )"
base.dists.cauchy.cdf,"base.dists.cauchy.cdf( x:number, x0:number, Ɣ:number )"
base.dists.cauchy.cdf.factory,"base.dists.cauchy.cdf.factory( x0:number, Ɣ:number )"
base.dists.cauchy.entropy,"base.dists.cauchy.entropy( x0:number, Ɣ:number )"
base.dists.cauchy.logcdf,"base.dists.cauchy.logcdf( x:number, x0:number, Ɣ:number )"
base.dists.cauchy.logcdf.factory,"base.dists.cauchy.logcdf.factory( x0:number, Ɣ:number )"
base.dists.cauchy.logpdf,"base.dists.cauchy.logpdf( x:number, x0:number, Ɣ:number )"
base.dists.cauchy.logpdf.factory,"base.dists.cauchy.logpdf.factory( x0:number, Ɣ:number )"
base.dists.cauchy.median,"base.dists.cauchy.median( x0:number, Ɣ:number )"
base.dists.cauchy.mode,"base.dists.cauchy.mode( x0:number, Ɣ:number )"
base.dists.cauchy.pdf,"base.dists.cauchy.pdf( x:number, x0:number, Ɣ:number )"
base.dists.cauchy.pdf.factory,"base.dists.cauchy.pdf.factory( x0:number, Ɣ:number )"
base.dists.cauchy.quantile,"base.dists.cauchy.quantile( p:number, x0:number, Ɣ:number )"
base.dists.cauchy.quantile.factory,"base.dists.cauchy.quantile.factory( x0:number, Ɣ:number )"
base.dists.chi.cdf,"base.dists.chi.cdf( x:number, k:number )"
base.dists.chi.cdf.factory,"base.dists.chi.cdf.factory( k:number )"
base.dists.chi.Chi,"base.dists.chi.Chi( [k:number] )"
base.dists.chi.entropy,"base.dists.chi.entropy( k:number )"
base.dists.chi.kurtosis,"base.dists.chi.kurtosis( k:number )"
base.dists.chi.logpdf,"base.dists.chi.logpdf( x:number, k:number )"
base.dists.chi.logpdf.factory,"base.dists.chi.logpdf.factory( k:number )"
base.dists.chi.mean,"base.dists.chi.mean( k:number )"
base.dists.chi.mode,"base.dists.chi.mode( k:number )"
base.dists.chi.pdf,"base.dists.chi.pdf( x:number, k:number )"
base.dists.chi.pdf.factory,"base.dists.chi.pdf.factory( k:number )"
base.dists.chi.quantile,"base.dists.chi.quantile( p:number, k:number )"
base.dists.chi.quantile.factory,"base.dists.chi.quantile.factory( k:number )"
base.dists.chi.skewness,"base.dists.chi.skewness( k:number )"
base.dists.chi.stdev,"base.dists.chi.stdev( k:number )"
base.dists.chi.variance,"base.dists.chi.variance( k:number )"
base.dists.chisquare.cdf,"base.dists.chisquare.cdf( x:number, k:number )"
base.dists.chisquare.cdf.factory,"base.dists.chisquare.cdf.factory( k:number )"
base.dists.chisquare.ChiSquare,"base.dists.chisquare.ChiSquare( [k:number] )"
