year,month,date_of_month,day_of_week,births
1969,5,13,2,9862
1969,5,14,3,9184
1969,5,15,4,9524
1969,5,16,5,9824
1969,5,17,6,8946
1969,5,18,7,8028
1969,5,19,1,9494
1969,5,20,2,10388
1969,5,21,3,9766
1969,5,22,4,9406
1969,5,23,5,9584
1969,5,24,6,8558
1969,5,25,7,8226
1969,5,26,1,9840
1969,5,27,2,10352
1969,5,28,3,9938
1969,5,29,4,10190
1969,5,30,5,9154
1969,5,31,6,8640
1969,6,1,7,8426
1969,6,2,1,9862
1969,6,3,2,10158
1969,6,4,3,9838
1969,6,5,4,9588
1969,6,6,5,10006
1969,6,7,6,8814
1969,6,8,7,8226
1969,6,9,1,9738
1969,6,10,2,10320
1969,6,11,3,9950
1969,6,12,4,10220
1969,6,13,5,9852
1969,6,14,6,8920
1969,6,15,7,8402
1969,6,16,1,9744
1969,6,17,2,10294
1969,6,18,3,10220
1969,6,19,4,9756
1969,6,20,5,10424
1969,6,21,6,9034
1969,6,22,7,8612
1969,6,23,1,9880
1969,6,24,2,10624
1969,6,25,3,10466
1969,6,26,4,10344
1969,6,27,5,10776
1969,6,28,6,9566
1969,6,29,7,8800
1969,6,30,1,10588
1969,7,1,2,11146
1969,7,2,3,10758
1969,7,3,4,10562
1969,7,4,5,9168
1969,7,5,6,9248
1969,7,6,7,8860
1969,7,7,1,10634
1969,7,8,2,10842
1969,7,9,3,10576
1969,7,10,4,10562
1969,7,11,5,10686
1969,7,12,6,9472
1969,7,13,7,8978
1969,7,14,1,10242
1969,7,15,2,11296
1969,7,16,3,10698
1969,7,17,4,10668
1969,7,18,5,10632
1969,7,19,6,9674
1969,7,20,7,8940
1969,7,21,1,10196
1969,7,22,2,11040
1969,7,23,3,10468
1969,7,24,4,10430
1969,7,25,5,10688
1969,7,26,6,9786
1969,7,27,7,9408
1969,7,28,1,10548
1969,7,29,2,11102
1969,7,30,3,10634
1969,7,31,4,10346
1969,8,1,5,10730
1969,8,2,6,9982
1969,8,3,7,9082
1969,8,4,1,10450
1969,8,5,2,10944
1969,8,6,3,10852
1969,8,7,4,10382
1969,8,8,5,11302
1969,8,9,6,10092
1969,8,10,7,9106
1969,8,11,1,10706
1969,8,12,2,11138
1969,8,13,3,10802
1969,8,14,4,10726
1969,8,15,5,10910
1969,8,16,6,9772
1969,8,17,7,9124
1969,8,18,1,10650
1969,8,19,2,11410
1969,8,20,3,10918
1969,8,21,4,10184
1969,8,22,5,10586
1969,8,23,6,9660
1969,8,24,7,9084
1969,8,25,1,10586
1969,8,26,2,11082
1969,8,27,3,10638
1969,8,28,4,10616
1969,8,29,5,10714
1969,8,30,6,9708
1969,8,31,7,8986
1969,9,1,1,9012
1969,9,2,2,10686
1969,9,3,3,11044
1969,9,4,4,10506
1969,9,5,5,10610
1969,9,6,6,9710
1969,9,7,7,9196
1969,9,8,1,10508
1969,9,9,2,10598
1969,9,10,3,10450
1969,9,11,4,10408
1969,9,12,5,10752
1969,9,13,6,9534
1969,9,14,7,9204
1969,9,15,1,10728
1969,9,16,2,11142
1969,9,17,3,10864
1969,9,18,4,10876
1969,9,19,5,10832
1969,9,20,6,10040
1969,9,21,7,9368
1969,9,22,1,10970
1969,9,23,2,11300
1969,9,24,3,10898
1969,9,25,4,10840
1969,9,26,5,11154
1969,9,27,6,10170
1969,9,28,7,9198
1969,9,29,1,10708
1969,9,30,2,11138
1969,10,1,3,10910
1969,10,2,4,10656
1969,10,3,5,10922
1969,10,4,6,9710
1969,10,5,7,8972
1969,10,6,1,10318
1969,10,7,2,10654
1969,10,8,3,10510
1969,10,9,4,10710
1969,10,10,5,10748
1969,10,11,6,9566
1969,10,12,7,9014
1969,10,13,1,9996
1969,10,14,2,10618
1969,10,15,3,10120
1969,10,16,4,9918
1969,10,17,5,10338
1969,10,18,6,9172
1969,10,19,7,8586
1969,10,20,1,10148
1969,10,21,2,10674
1969,10,22,3,10300
1969,10,23,4,9814
1969,10,24,5,10010
1969,10,25,6,9258
1969,10,26,7,8864
1969,10,27,1,10372
1969,10,28,2,10640
1969,10,29,3,10104
1969,10,30,4,10110
1969,10,31,5,10144
1969,11,1,6,9342
1969,11,2,7,8904
1969,11,3,1,10338
1969,11,4,2,10772
1969,11,5,3,10020
1969,11,6,4,10240
1969,11,7,5,10660
1969,11,8,6,9678
1969,11,9,7,9022
1969,11,10,1,10342
1969,11,11,2,10878
1969,11,12,3,10324
1969,11,13,4,10100
1969,11,14,5,10396
1969,11,15,6,9298
1969,11,16,7,8660
1969,11,17,1,10286
1969,11,18,2,10698
1969,11,19,3,10260
1969,11,20,4,10258
1969,11,21,5,10168
1969,11,22,6,9438
1969,11,23,7,8866
1969,11,24,1,10462
1969,11,25,2,10864
1969,11,26,3,10074
1969,11,27,4,8248
1969,11,28,5,9948
1969,11,29,6,9332
1969,11,30,7,8966
1969,12,1,1,10648
1969,12,2,2,10736
1969,12,3,3,10300
1969,12,4,4,10254
1969,12,5,5,10428
1969,12,6,6,9420
1969,12,7,7,8740
1969,12,8,1,10646
1969,12,9,2,10730
1969,12,10,3,10348
1969,12,11,4,10300
1969,12,12,5,10758
1969,12,13,6,9602
1969,12,14,7,8762
1969,12,15,1,10898
1969,12,16,2,11022
1969,12,17,3,10646
1969,12,18,4,10426
1969,12,19,5,10912
1969,12,20,6,9822
1969,12,21,7,8864
1969,12,22,1,10492
1969,12,23,2,9856
1969,12,24,3,8978
1969,12,25,4,8284
1969,12,26,5,9910
1969,12,27,6,9304
1969,12,28,7,9004
1969,12,29,1,10980
1969,12,30,2,12232
1969,12,31,3,11122
1970,1,1,4,8372
1970,1,2,5,9234
1970,1,3,6,9162
1970,1,4,7,8620
1970,1,5,1,9852
1970,1,6,2,10202
1970,1,7,3,10020
1970,1,8,4,9756
1970,1,9,5,9844
1970,1,10,6,9270
1970,1,11,7,9158
1970,1,12,1,10474
1970,1,13,2,10580
1970,1,14,3,10244
1970,1,15,4,9946
1970,1,16,5,10276
1970,1,17,6,9598
1970,1,18,7,8948
1970,1,19,1,10124
1970,1,20,2,10524
1970,1,21,3,10096
1970,1,22,4,9686
1970,1,23,5,10202
1970,1,24,6,9470
1970,1,25,7,8792
1970,1,26,1,10160
1970,1,27,2,10602
1970,1,28,3,10188
1970,1,29,4,9816
1970,1,30,5,9912
1970,1,31,6,9012
1970,2,1,7,9042
1970,2,2,1,10542
1970,2,3,2,10712
1970,2,4,3,10086
1970,2,5,4,9766
1970,2,6,5,10220
1970,2,7,6,9562
1970,2,8,7,9016
1970,2,9,1,10226
1970,2,10,2,10620
1970,2,11,3,10288
1970,2,12,4,10058
1970,2,13,5,10110
1970,2,14,6,9558
1970,2,15,7,9136
1970,2,16,1,10260
1970,2,17,2,10676
1970,2,18,3,10472
1970,2,19,4,10072
1970,2,20,5,10544
1970,2,21,6,9314
1970,2,22,7,8986
1970,2,23,1,10168
1970,2,24,2,10782
1970,2,25,3,10574
1970,2,26,4,10408
1970,2,27,5,10264
1970,2,28,6,9720
1970,3,1,7,8882
1970,3,2,1,10170
1970,3,3,2,11306
1970,3,4,3,10600
1970,3,5,4,10258
1970,3,6,5,10504
1970,3,7,6,9460
1970,3,8,7,8926
1970,3,9,1,10340
1970,3,10,2,10744
1970,3,11,3,10410
1970,3,12,4,10180
1970,3,13,5,10140
1970,3,14,6,9450
1970,3,15,7,8596
1970,3,16,1,10058
1970,3,17,2,10694
1970,3,18,3,10278
1970,3,19,4,10100
1970,3,20,5,10206
1970,3,21,6,9390
1970,3,22,7,8784
1970,3,23,1,10334
1970,3,24,2,10556
1970,3,25,3,10148
1970,3,26,4,9886
1970,3,27,5,9792
1970,3,28,6,8764
1970,3,29,7,8314
1970,3,30,1,9766
1970,3,31,2,10172
1970,4,1,3,10002
1970,4,2,4,10134
1970,4,3,5,10116
1970,4,4,6,9234
1970,4,5,7,8522
1970,4,6,1,10052
1970,4,7,2,10474
1970,4,8,3,9950
1970,4,9,4,9898
1970,4,10,5,10072
1970,4,11,6,9040
1970,4,12,7,8214
1970,4,13,1,9470
1970,4,14,2,10100
1970,4,15,3,9824
1970,4,16,4,9668
1970,4,17,5,9706
1970,4,18,6,8786
1970,4,19,7,8174
1970,4,20,1,9574
1970,4,21,2,10098
1970,4,22,3,9714
1970,4,23,4,9518
1970,4,24,5,9860
1970,4,25,6,8824
1970,4,26,7,8278
1970,4,27,1,9910
1970,4,28,2,10300
1970,4,29,3,9728
1970,4,30,4,9684
1970,5,1,5,9946
1970,5,2,6,8740
1970,5,3,7,8036
1970,5,4,1,9752
1970,5,5,2,10136
1970,5,6,3,9712
1970,5,7,4,9632
1970,5,8,5,9836
1970,5,9,6,8996
1970,5,10,7,8428
1970,5,11,1,10080
1970,5,12,2,10436
1970,5,13,3,10026
1970,5,14,4,9812
1970,5,15,5,10214
1970,5,16,6,8946
1970,5,17,7,8030
1970,5,18,1,10022
1970,5,19,2,10436
1970,5,20,3,10044
1970,5,21,4,10244
1970,5,22,5,10362
1970,5,23,6,9424
1970,5,24,7,8718
1970,5,25,1,10076
1970,5,26,2,10598
1970,5,27,3,10034
1970,5,28,4,10040
1970,5,29,5,9984
1970,5,30,6,8868
1970,5,31,7,8388
1970,6,1,1,10124
1970,6,2,2,10882
1970,6,3,3,10270
1970,6,4,4,9964
1970,6,5,5,10060
1970,6,6,6,9516
1970,6,7,7,8500
1970,6,8,1,9946
1970,6,9,2,10764
1970,6,10,3,10330
1970,6,11,4,10518
1970,6,12,5,10774
1970,6,13,6,9212
1970,6,14,7,8614
1970,6,15,1,10216
1970,6,16,2,10878
1970,6,17,3,10610
1970,6,18,4,10520
1970,6,19,5,10390
1970,6,20,6,9600
1970,6,21,7,8568
1970,6,22,1,10352
1970,6,23,2,10678
1970,6,24,3,10644
1970,6,25,4,10326
1970,6,26,5,10622
1970,6,27,6,9672
1970,6,28,7,8728
1970,6,29,1,10506
1970,6,30,2,11378
1970,7,1,3,11108
1970,7,2,4,11234
1970,7,3,5,10516
1970,7,4,6,9380
1970,7,5,7,9020
1970,7,6,1,10518
1970,7,7,2,11292
1970,7,8,3,10896
1970,7,9,4,10716
1970,7,10,5,10862
1970,7,11,6,9690
1970,7,12,7,9184
1970,7,13,1,10568
1970,7,14,2,11828
1970,7,15,3,11078
1970,7,16,4,11048
1970,7,17,5,10938
1970,7,18,6,9966
1970,7,19,7,9520
1970,7,20,1,10982
1970,7,21,2,11448
1970,7,22,3,10682
1970,7,23,4,10844
1970,7,24,5,10956
1970,7,25,6,9866
1970,7,26,7,9466
1970,7,27,1,11052
1970,7,28,2,11858
1970,7,29,3,11354
1970,7,30,4,11056
1970,7,31,5,11300
1970,8,1,6,10416
1970,8,2,7,9282
1970,8,3,1,11180
1970,8,4,2,11180
1970,8,5,3,10872
1970,8,6,4,10836
1970,8,7,5,11022
1970,8,8,6,10232
1970,8,9,7,9458
1970,8,10,1,10846
1970,8,11,2,11566
1970,8,12,3,11484
1970,8,13,4,11060
1970,8,14,5,11538
1970,8,15,6,10236
1970,8,16,7,9616
1970,8,17,1,11032
1970,8,18,2,11648
1970,8,19,3,11134
1970,8,20,4,10868
1970,8,21,5,11050
1970,8,22,6,9958
1970,8,23,7,9274
1970,8,24,1,10456
1970,8,25,2,11384
1970,8,26,3,11306
1970,8,27,4,10664
1970,8,28,5,11004
1970,8,29,6,10042
1970,8,30,7,9392
1970,8,31,1,11078
1970,9,1,2,11350
1970,9,2,3,10936
1970,9,3,4,11088
1970,9,4,5,11366
1970,9,5,6,10216
1970,9,6,7,9486
1970,9,7,1,9564
1970,9,8,2,11310
1970,9,9,3,11860
1970,9,10,4,11654
1970,9,11,5,11592
1970,9,12,6,10218
1970,9,13,7,9544
1970,9,14,1,11304
1970,9,15,2,11904
1970,9,16,3,11704
1970,9,17,4,11472
1970,9,18,5,11546
1970,9,19,6,10492
1970,9,20,7,9976
1970,9,21,1,11614
1970,9,22,2,12466
1970,9,23,3,11798
1970,9,24,4,11448
1970,9,25,5,11916
1970,9,26,6,10404
1970,9,27,7,9816
1970,9,28,1,11340
1970,9,29,2,11564
1970,9,30,3,11244
1970,10,1,4,10782
1970,10,2,5,11210
1970,10,3,6,10492
1970,10,4,7,9372
1970,10,5,1,11048
1970,10,6,2,11582
1970,10,7,3,11020
1970,10,8,4,10772
1970,10,9,5,11196
1970,10,10,6,9790
1970,10,11,7,9214
1970,10,12,1,11016
1970,10,13,2,11236
1970,10,14,3,10882
1970,10,15,4,10644
1970,10,16,5,10704
1970,10,17,6,9490
1970,10,18,7,8924
1970,10,19,1,10500
1970,10,20,2,11138
1970,10,21,3,10716
1970,10,22,4,10478
1970,10,23,5,10654
1970,10,24,6,9598
1970,10,25,7,9266
1970,10,26,1,10616
1970,10,27,2,10956
1970,10,28,3,10262
1970,10,29,4,10122
1970,10,30,5,10614
1970,10,31,6,9592
1970,11,1,7,9070
1970,11,2,1,10568
1970,11,3,2,11146
1970,11,4,3,10622
1970,11,5,4,10454
1970,11,6,5,10722
1970,11,7,6,9460
1970,11,8,7,9132
1970,11,9,1,10562
1970,11,10,2,11328
1970,11,11,3,10612
1970,11,12,4,10704
1970,11,13,5,10850
1970,11,14,6,9828
1970,11,15,7,9282
1970,11,16,1,10690
1970,11,17,2,11182
1970,11,18,3,10914
1970,11,19,4,10828
1970,11,20,5,11126
1970,11,21,6,9926
1970,11,22,7,8926
1970,11,23,1,10940
1970,11,24,2,11152
1970,11,25,3,10542
1970,11,26,4,8712
1970,11,27,5,10038
1970,11,28,6,9670
1970,11,29,7,9190
1970,11,30,1,11126
1970,12,1,2,11328
1970,12,2,3,11180
1970,12,3,4,10368
1970,12,4,5,10872
1970,12,5,6,9610
1970,12,6,7,9272
1970,12,7,1,10720
1970,12,8,2,11220
1970,12,9,3,10708
1970,12,10,4,10756
1970,12,11,5,10704
1970,12,12,6,10040
1970,12,13,7,9204
1970,12,14,1,11070
1970,12,15,2,11884
1970,12,16,3,11586
1970,12,17,4,11234
1970,12,18,5,11708
1970,12,19,6,10518
1970,12,20,7,9322
1970,12,21,1,11372
1970,12,22,2,11008
1970,12,23,3,10070
1970,12,24,4,9120
1970,12,25,5,8490
1970,12,26,6,9366
1970,12,27,7,9314
1970,12,28,1,11640
1970,12,29,2,12448
1970,12,30,3,11932
1970,12,31,4,11210
1971,1,1,5,8848
1971,1,2,6,9226
1971,1,3,7,8798
1971,1,4,1,10044
1971,1,5,2,10538
1971,1,6,3,10146
1971,1,7,4,10030
1971,1,8,5,10486
1971,1,9,6,9280
1971,1,10,7,9116
1971,1,11,1,10824
1971,1,12,2,11064
1971,1,13,3,10664
1971,1,14,4,10364
1971,1,15,5,10874
1971,1,16,6,9590
1971,1,17,7,8806
1971,1,18,1,10974
1971,1,19,2,11020
1971,1,20,3,10598
1971,1,21,4,10492
1971,1,22,5,10730
1971,1,23,6,9802
1971,1,24,7,8994
1971,1,25,1,10558
1971,1,26,2,10996
1971,1,27,3,10442
1971,1,28,4,10392
1971,1,29,5,10274
1971,1,30,6,9772
1971,1,31,7,9064
1971,2,1,1,10410
1971,2,2,2,10804
1971,2,3,3,10296
1971,2,4,4,10170
1971,2,5,5,10868
1971,2,6,6,9478
1971,2,7,7,9038
1971,2,8,1,10266
1971,2,9,2,10778
1971,2,10,3,10354
1971,2,11,4,10372
1971,2,12,5,10786
1971,2,13,6,9314
1971,2,14,7,9068
1971,2,15,1,10056
1971,2,16,2,10514
1971,2,17,3,10442
1971,2,18,4,10228
1971,2,19,5,10472
1971,2,20,6,9502
1971,2,21,7,9194
1971,2,22,1,10752
1971,2,23,2,10782
1971,2,24,3,10532
1971,2,25,4,10402
1971,2,26,5,10738
1971,2,27,6,9586
1971,2,28,7,8810
1971,3,1,1,10280
1971,3,2,2,10398
1971,3,3,3,10634
1971,3,4,4,10326
1971,3,5,5,10452
1971,3,6,6,9460
1971,3,7,7,8744
1971,3,8,1,10156
1971,3,9,2,10766
1971,3,10,3,10470
1971,3,11,4,10300
1971,3,12,5,10474
1971,3,13,6,9408
1971,3,14,7,8838
1971,3,15,1,10348
1971,3,16,2,10438
1971,3,17,3,10234
1971,3,18,4,9798
1971,3,19,5,10476
1971,3,20,6,9164
1971,3,21,7,8688
1971,3,22,1,10142
1971,3,23,2,10340
1971,3,24,3,9808
1971,3,25,4,9954
1971,3,26,5,9870
1971,3,27,6,8796
1971,3,28,7,8672
1971,3,29,1,10220
1971,3,30,2,10416
1971,3,31,3,10224
1971,4,1,4,9756
1971,4,2,5,10266
1971,4,3,6,8876
1971,4,4,7,8334
1971,4,5,1,9982
1971,4,6,2,10442
1971,4,7,3,9746
1971,4,8,4,9762
1971,4,9,5,9756
1971,4,10,6,8662
1971,4,11,7,8090
1971,4,12,1,9706
1971,4,13,2,10296
1971,4,14,3,9944
1971,4,15,4,9610
1971,4,16,5,9934
1971,4,17,6,8914
1971,4,18,7,8180
1971,4,19,1,9918
1971,4,20,2,10272
1971,4,21,3,9948
1971,4,22,4,9712
1971,4,23,5,9784
1971,4,24,6,8838
1971,4,25,7,7984
1971,4,26,1,9956
1971,4,27,2,10472
1971,4,28,3,9664
1971,4,29,4,9712
1971,4,30,5,9752
1971,5,1,6,8826
1971,5,2,7,7910
1971,5,3,1,9372
1971,5,4,2,9840
1971,5,5,3,9310
1971,5,6,4,9156
1971,5,7,5,9754
1971,5,8,6,8610
1971,5,9,7,8258
1971,5,10,1,9636
1971,5,11,2,10000
1971,5,12,3,9718
1971,5,13,4,9402
1971,5,14,5,9654
1971,5,15,6,8424
1971,5,16,7,7932
1971,5,17,1,9796
1971,5,18,2,10342
1971,5,19,3,9818
1971,5,20,4,9568
1971,5,21,5,9480
1971,5,22,6,8380
1971,5,23,7,7822
1971,5,24,1,9798
1971,5,25,2,10234
1971,5,26,3,9622
1971,5,27,4,9552
1971,5,28,5,9776
1971,5,29,6,8592
1971,5,30,7,7884
1971,5,31,1,8424
1971,6,1,2,9912
1971,6,2,3,9826
1971,6,3,4,9932
1971,6,4,5,10328
1971,6,5,6,8944
1971,6,6,7,8362
1971,6,7,1,9780
1971,6,8,2,10032
1971,6,9,3,9832
1971,6,10,4,9424
1971,6,11,5,9814
1971,6,12,6,8824
1971,6,13,7,8096
1971,6,14,1,9810
1971,6,15,2,9938
1971,6,16,3,9750
1971,6,17,4,9388
1971,6,18,5,9944
1971,6,19,6,8702
1971,6,20,7,8194
1971,6,21,1,9720
1971,6,22,2,10122
1971,6,23,3,9600
1971,6,24,4,9684
1971,6,25,5,10286
1971,6,26,6,8936
1971,6,27,7,8050
1971,6,28,1,9986
1971,6,29,2,10132
1971,6,30,3,10126
1971,7,1,4,10130
1971,7,2,5,10014
1971,7,3,6,8696
1971,7,4,7,8126
1971,7,5,1,8646
1971,7,6,2,10180
1971,7,7,3,10542
1971,7,8,4,10176
1971,7,9,5,10496
1971,7,10,6,9160
1971,7,11,7,8474
1971,7,12,1,9928
1971,7,13,2,10506
1971,7,14,3,10494
1971,7,15,4,10064
1971,7,16,5,10550
1971,7,17,6,9424
1971,7,18,7,8608
1971,7,19,1,9974
1971,7,20,2,10460
1971,7,21,3,10414
1971,7,22,4,10264
1971,7,23,5,10540
1971,7,24,6,9454
1971,7,25,7,8650
1971,7,26,1,10256
1971,7,27,2,10786
1971,7,28,3,10330
1971,7,29,4,10274
1971,7,30,5,10572
1971,7,31,6,9308
1971,8,1,7,8574
1971,8,2,1,10324
1971,8,3,2,10940
1971,8,4,3,10532
1971,8,5,4,9980
1971,8,6,5,10258
1971,8,7,6,9448
1971,8,8,7,9104
1971,8,9,1,10336
1971,8,10,2,11164
1971,8,11,3,10846
1971,8,12,4,10282
1971,8,13,5,10368
1971,8,14,6,9620
1971,8,15,7,8836
1971,8,16,1,10178
1971,8,17,2,10626
1971,8,18,3,10442
1971,8,19,4,10386
1971,8,20,5,10870
1971,8,21,6,9654
1971,8,22,7,8866
1971,8,23,1,10398
1971,8,24,2,10704
1971,8,25,3,10334
1971,8,26,4,10544
1971,8,27,5,10394
1971,8,28,6,9524
1971,8,29,7,8720
1971,8,30,1,10068
1971,8,31,2,10766
1971,9,1,3,10416
1971,9,2,4,10218
1971,9,3,5,10788
1971,9,4,6,9566
1971,9,5,7,8852
1971,9,6,1,9252
1971,9,7,2,10854
1971,9,8,3,10988
1971,9,9,4,10982
1971,9,10,5,10910
1971,9,11,6,9542
1971,9,12,7,8916
1971,9,13,1,10582
1971,9,14,2,11034
1971,9,15,3,10716
1971,9,16,4,10780
1971,9,17,5,11004
1971,9,18,6,9882
1971,9,19,7,9110
1971,9,20,1,10702
1971,9,21,2,11064
1971,9,22,3,10586
1971,9,23,4,10708
1971,9,24,5,10862
1971,9,25,6,9584
1971,9,26,7,9380
1971,9,27,1,10786
1971,9,28,2,11472
1971,9,29,3,10990
1971,9,30,4,10908
1971,10,1,5,10922
1971,10,2,6,9606
1971,10,3,7,8800
1971,10,4,1,10606
1971,10,5,2,10874
1971,10,6,3,10344
1971,10,7,4,10292
1971,10,8,5,10396
1971,10,9,6,9070
1971,10,10,7,9060
1971,10,11,1,10266
1971,10,12,2,10530
1971,10,13,3,10210
1971,10,14,4,10186
1971,10,15,5,10180
1971,10,16,6,9150
1971,10,17,7,8504
1971,10,18,1,10198
1971,10,19,2,10490
1971,10,20,3,9870
1971,10,21,4,9990
1971,10,22,5,10042
1971,10,23,6,8732
1971,10,24,7,8416
1971,10,25,1,9566
1971,10,26,2,10054
1971,10,27,3,9896
1971,10,28,4,9802
1971,10,29,5,9922
1971,10,30,6,8614
1971,10,31,7,8616
1971,11,1,1,9636
1971,11,2,2,9966
1971,11,3,3,9794
1971,11,4,4,9516
1971,11,5,5,9862
1971,11,6,6,8700
1971,11,7,7,8232
1971,11,8,1,9740
1971,11,9,2,10166
1971,11,10,3,9690
1971,11,11,4,9560
1971,11,12,5,10108
1971,11,13,6,8848
1971,11,14,7,8358
1971,11,15,1,9860
1971,11,16,2,10138
1971,11,17,3,9726
1971,11,18,4,9838
1971,11,19,5,10136
1971,11,20,6,8932
1971,11,21,7,8286
1971,11,22,1,9894
1971,11,23,2,10132
1971,11,24,3,9586
1971,11,25,4,7566
1971,11,26,5,9142
1971,11,27,6,8562
1971,11,28,7,8240
1971,11,29,1,9748
1971,11,30,2,9766
1971,12,1,3,9634
1971,12,2,4,9166
1971,12,3,5,9292
1971,12,4,6,8792
1971,12,5,7,8254
1971,12,6,1,9732
1971,12,7,2,10026
1971,12,8,3,9564
1971,12,9,4,9526
1971,12,10,5,9878
1971,12,11,6,8588
1971,12,12,7,8102
1971,12,13,1,9502
1971,12,14,2,10186
1971,12,15,3,9886
1971,12,16,4,9770
1971,12,17,5,9936
1971,12,18,6,8522
1971,12,19,7,7952
1971,12,20,1,10102
1971,12,21,2,10306
1971,12,22,3,9018
1971,12,23,4,8266
1971,12,24,5,7826
1971,12,25,6,7240
1971,12,26,7,7620
1971,12,27,1,9692
1971,12,28,2,10494
1971,12,29,3,10180
1971,12,30,4,10156
1971,12,31,5,9174
1972,1,1,6,7693
1972,1,2,7,7795
1972,1,3,1,8936
1972,1,4,2,9241
1972,1,5,3,8952
1972,1,6,4,8738
1972,1,7,5,9330
1972,1,8,6,8242
1972,1,9,7,7911
1972,1,10,1,9347
1972,1,11,2,9788
1972,1,12,3,9312
1972,1,13,4,9285
1972,1,14,5,9622
1972,1,15,6,8035
1972,1,16,7,7664
1972,1,17,1,9422
1972,1,18,2,9872
1972,1,19,3,9426
1972,1,20,4,9341
1972,1,21,5,9368
1972,1,22,6,8810
1972,1,23,7,8148
1972,1,24,1,9646
1972,1,25,2,9778
1972,1,26,3,9156
1972,1,27,4,9056
1972,1,28,5,9177
1972,1,29,6,8232
1972,1,30,7,7926
1972,1,31,1,9271
1972,2,1,2,9663
1972,2,2,3,9370
1972,2,3,4,9227
1972,2,4,5,9359
1972,2,5,6,8323
1972,2,6,7,7965
1972,2,7,1,9295
1972,2,8,2,9598
1972,2,9,3,9000
1972,2,10,4,8945
1972,2,11,5,9357
1972,2,12,6,8571
1972,2,13,7,8009
1972,2,14,1,9864
1972,2,15,2,9667
1972,2,16,3,9574
1972,2,17,4,9425
1972,2,18,5,9652
1972,2,19,6,8350
1972,2,20,7,7936
1972,2,21,1,8807
1972,2,22,2,9715
1972,2,23,3,9357
1972,2,24,4,9239
1972,2,25,5,9495
1972,2,26,6,8601
1972,2,27,7,7591
1972,2,28,1,9297
1972,2,29,2,9582
1972,3,1,3,9621
1972,3,2,4,9275
1972,3,3,5,9605
1972,3,4,6,8424
1972,3,5,7,7720
1972,3,6,1,9126
1972,3,7,2,9482
1972,3,8,3,9231
